iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,10.76495099067688,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,1855.4,516.2052305043024,3840,580,0.0,1.0,0.08531856536865234,1.8599467277526855,0.009924541,0.0103994645,-0.020283367,-2.1597585517469557,0.0,1855.4,40000,1.1427631378173828,0.9992773176349077,0.7896938583740187,-4.080395139735192,0.0,1759.2
1,10.155187129974365,-1.1285702524599126,13.978509493466017,82.22366348276243,-8.015446999435298,1685.15,508.17317668290997,3790,200,0.0,1.0,0.08227157592773438,1.8098196983337402,0.009967149,0.007758107,-0.020954784,-2.0566397218182515,0.0,1685.15,40000,7.834282636642456,0.8171381415905328,0.7093273756319587,-3.77122541445652,0.0,1582.4
2,10.582558393478394,-1.3917863391075564,13.887616580202435,134.137849643199,-12.711852092598559,1653.1,453.6798320401735,3250,330,0.0,1.0,0.0786890983581543,1.7799232006072998,0.009977422,0.0052225576,-0.020167448,-1.990154383547182,0.0,1653.1,40000,12.838474750518799,0.831598020676993,0.7536238130741041,-2.9335846073471403,0.0,1460.0
3,10.269170045852661,2.630890099342287,54.06457498902413,722.1511902960503,-7.548384286857355,1541.7,454.1729956745557,2680,360,0.5,1.0,0.08138775825500488,1.8294122219085693,0.009994829,0.004486892,-0.02094734,-1.528049935258235,0.5,1541.7,40000,13.108918190002441,0.9563771324729445,0.8500826606085763,-3.3956765359939207,0.0,1368.0
4,10.314241409301758,-0.22269164929356663,15.536927495953876,88.2449433421854,-8.095056246858332,1411.9,443.12570451283915,2590,160,0.0,1.0,0.08305859565734863,1.7778820991516113,0.009944709,0.0004039934,-0.02049529,-1.3975141066617682,0.0,1411.9,40000,12.89185118675232,1.4208290375852928,0.6820358762298173,-1.0729705262398108,0.0,1118.0
5,10.270634412765503,-2.37141894619801,10.105141048578842,77.3009239210473,-7.240977662620511,1305.65,400.31434835638856,2410,30,0.0,1.0,0.0747230052947998,1.7940433025360107,0.009798198,0.00402756,-0.020993926,-1.4949045906153924,0.0,1305.65,40000,12.959131956100464,0.8138580925190877,0.6963239936693476,-3.0804720308559546,0.0,909.2
6,10.462255001068115,-0.9700247116403891,16.21843294274543,158.00237484948445,-7.284786876439803,1236.3,417.3946693478488,2730,0,0.0,1.0,0.07457828521728516,1.8389770984649658,0.009884284,0.0057685203,-0.02169299,-1.4424166027178922,0.0,1236.3,40000,12.630146503448486,0.8191295753129878,0.7670763334518991,-3.4095729325103914,0.0,668.4
7,10.54999327659607,-1.9631773923052094,10.045937946047868,65.26456930627738,-7.283976358970022,1123.25,388.76334382243397,2490,30,0.0,0.8,0.07823824882507324,1.8553595542907715,0.006429831,0.0037584896,-0.016564382,-1.494492681676624,0.0,1123.25,40000,11.94967246055603,0.802096598372059,0.6499924231634892,-3.4318933962911826,0.0,568.8
8,10.31621766090393,-2.2554553782804723,10.52088909946696,76.90333217478357,-7.193493243106537,1037.3,380.82503856758166,1970,0,0.0,1.0,0.08069062232971191,1.7837183475494385,0.009967452,0.0037311588,-0.019729942,-1.5705889513370088,0.0,1037.3,40000,11.255321741104126,0.6327676801660568,0.5320829174118826,-3.4741236319158144,0.0,508.8
9,10.321048498153687,-3.001646379692287,7.984626984857255,66.643591255984,-7.159714488464739,966.5,367.0882046593162,2600,160,0.0,1.0,0.08266639709472656,1.7995853424072266,0.009971313,0.0048522432,-0.020446412,-1.7136946941725366,0.0,966.5,40000,11.31376576423645,0.8117443340455955,0.6637038593897285,-3.5071552420243757,0.0,452.0
10,10.279026746749878,2.4607011377866668,48.81065041278385,647.6886272957158,-7.2839413762428045,847.35,398.98932003250405,1930,0,0.5,1.0,0.07576370239257812,1.8806283473968506,0.009948905,0.0039750882,-0.02047416,-1.2962551109766163,0.5,847.35,40000,10.251188039779663,0.9432664383528448,0.7232529112089069,-3.3679369198642575,0.0,453.2
11,10.159773349761963,-2.662889203219795,9.072105989298413,66.78313020568922,-7.94164632308684,775.45,360.71706017320554,1920,60,0.0,0.8,0.07640576362609863,1.8524439334869385,0.006400853,0.00024335287,-0.016374279,-1.4329185202009342,0.0,775.45,40000,10.611426830291748,1.676887881809353,0.7015204639727366,-1.9045829093659103,0.0,462.4
12,10.1654212474823,-1.0273164443399636,13.483908467336768,77.65560296423797,-8.358317496265537,754.65,372.2712418385283,1900,50,0.0,1.0,0.07731461524963379,1.7880327701568604,0.0098955035,0.003212692,-0.020637877,-1.3923583126148371,0.0,754.65,40000,10.324598550796509,0.6731352611143087,0.5914224191304553,-3.5622878875772455,0.0,404.4
13,10.138598203659058,-0.2041907498028223,29.685334894224646,389.87614993854135,-7.250595884995378,619.95,334.6826818047208,1700,70,0.0,1.0,0.0793313980102539,1.8054072856903076,0.009949073,0.002455916,-0.021288898,-1.2735415563336356,0.0,619.95,40000,9.519455671310425,0.8823358515847693,0.8137697151988685,-3.399872013746057,0.0,325.6
14,10.05904507637024,-0.9832991085173839,14.041920078564333,89.04071520273268,-8.489004459407806,608.55,366.4851941074837,1880,0,0.0,1.0,0.0792391300201416,1.812542200088501,0.009929669,0.002275673,-0.02054964,-1.2445173115520105,0.0,608.55,40000,10.379330158233643,0.7559689371445454,0.5740063834740485,-3.3499852766366094,0.0,246.0
15,10.157436609268188,-0.5661818231571081,14.46867762220193,81.4114439016999,-6.806596046404111,496.9,301.1733553951943,1410,0,0.0,1.0,0.09357643127441406,1.7792932987213135,0.009828211,-0.021582019,0.0034124725,-1.1766837627125204,0.0,496.9,40000,9.764959573745728,0.6404807467420408,0.4936058860324902,-0.7194511242941378,0.0,204.0
16,10.159915685653687,-1.7454299776609448,11.856390774050569,83.16032763661354,-9.016901017986777,518.15,280.9182754823901,1590,0,0.0,1.0,0.07771515846252441,1.814857006072998,0.009996859,0.003493443,-0.020646842,-1.2335583842073627,0.0,518.15,40000,10.445419788360596,0.6457984382971017,0.5333004497489089,-1.0141951553325705,0.0,152.4
17,9.958425521850586,-2.881830883055625,8.35188135181886,62.091804994155105,-6.879095237024148,487.75,307.129349786047,1790,0,0.0,0.8,0.08967828750610352,1.7743706703186035,0.006438151,-0.02113308,0.0035337536,-1.398385634092189,0.0,487.75,40000,11.02671480178833,0.6624561063827369,0.5000109201301625,0.04797379654100219,0.0,133.2
18,10.002307891845703,-2.9338118897727172,8.528458322000954,71.65097935103859,-8.152950520896528,430.3,280.22118049854834,1420,0,0.0,0.8,0.08113980293273926,1.8521263599395752,0.0064131864,-0.019128205,-8.182907e-06,-1.5519282596602417,0.0,430.3,40000,10.141870737075806,0.5786757743670593,0.4896141020881529,-3.19779867614728,0.0,150.4
19,9.954657793045044,-2.337885561224571,9.902354650799612,71.1413934666343,-7.022077653220341,432.95,288.53041000906643,1520,0,0.0,0.8,0.07788300514221191,1.8210415840148926,0.0064349878,-0.019321494,0.0011250192,-1.6305239898166746,0.0,432.95,40000,11.115219354629517,0.6136604801550196,0.5053534856332271,-2.139250554211751,0.0,141.2
20,10.096078634262085,-2.844052913157609,8.36849339836633,65.77324207695422,-7.263078718642899,431.1,282.1113078201581,1680,0,0.0,0.8,0.07360625267028809,1.7863497734069824,0.0064349975,-0.021099258,0.0017955039,-1.751876882150768,0.0,431.1,40000,11.407590866088867,0.5684471109650912,0.4121849384217479,-1.813291745504757,0.0,147.2
21,10.203328847885132,-4.214193059307911,2.100000677303927,13.34208783303793,-6.719471568850302,445.7,277.4932611794384,1520,0,0.0,1.0,0.08023571968078613,1.8511440753936768,0.0098644495,-0.02667315,0.0024050307,-1.9981084998664824,0.0,445.7,40000,10.917148113250732,1.209794426073536,0.2081287939165098,-2.264655918290014,0.0,130.4
