iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,time_cost_VF,VF_cost_error_before,VF_cost_error_after,eval_score,eval_success,eval_avg_cost
0,9.872598648071289,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,1.8553999999999993,0.5162052305043,3.840000000000001,0.5800000000000003,0.0,1.0,0.07341241836547852,1.6760070323944092,0.009924211,0.010459892,-0.020350829,-2.1597585517469557,0.0,1.8554000000000008,40000,1.03157377243042,0.9992773176349077,0.7896938583740187,1.004607915878296,1.0125627695777575,0.06771084973475971,-4.079231270590307,0.0,1.7588
1,9.559893369674683,-0.6421595409941344,14.794522635576595,87.29281946270616,-8.00077045757496,1.6945,0.5083834674731255,3.7900000000000023,0.34000000000000014,0.0,1.0,0.07034969329833984,1.613415241241455,0.009910784,0.00936922,-0.022949202,-2.0079986506716736,0.0,1.6945000000000006,40000,7.246821880340576,0.8183635861767907,0.7008554299106702,3.665738582611084,0.08195872201077051,0.07653878336811402,-3.189114897862923,0.0,1.6016
2,9.465283870697021,-1.1903856033082183,18.2368903719221,209.20186360242266,-11.33290491413252,1.616500000000001,0.40449320142617917,2.609999999999996,0.0,0.0,1.0,0.06935691833496094,1.6568379402160645,0.009901396,0.005606809,-0.022718629,-1.926237345935328,0.0,1.6165000000000007,40000,12.298721075057983,0.8717505828643052,0.7897753980072584,6.83622932434082,0.07465922691531737,0.06570868813781405,-3.331860833351052,0.0,1.3044000000000002
3,9.71093225479126,1.068789836879363,25.309560895742706,290.1987394473534,-10.331272143353832,1.4066500000000008,0.4416596851649467,2.719999999999986,0.01,0.0,0.8,0.07518267631530762,1.7333154678344727,0.0064014387,0.005814899,-0.017727718,-1.626734627653859,0.0,1.4066500000000002,40000,12.341561794281006,0.8280488680504968,0.7610821080099005,8.708554983139038,0.10496263370908193,0.09479490818759806,-2.31271823298417,0.0,1.1052
4,9.659770727157593,-0.941785654610549,14.341044295738525,141.45016007498108,-8.667536136508787,1.348150000000001,0.3716962166877678,2.4099999999999926,0.4400000000000002,0.0,1.0,0.07220935821533203,1.612095832824707,0.009946605,0.008015255,-0.021041298,-1.5582397303495281,0.0,1.3481499999999986,40000,11.529287099838257,0.819334752749049,0.7209755231887268,8.352543830871582,0.08850308707304216,0.0877682504964959,1.9007850717785297,0.0,0.8056
5,9.666930198669434,-1.745212078967641,9.80924954341906,62.09129745771233,-7.794190831375438,1.2137500000000008,0.3996453896894098,2.510000000000002,0.19000000000000003,0.0,1.0,0.07235431671142578,1.7574472427368164,0.009887566,0.005966316,-0.021621322,-1.5769369652113394,0.0,1.2137499999999997,40000,11.686779022216797,0.8045414697692927,0.6930734436170077,9.563210010528564,0.1299901261804549,0.10837419424414199,4.0024444145873606,0.0,0.606
6,9.997964143753052,-0.9766030746390364,19.181744742199765,244.35462954242038,-7.37832587267037,1.1496500000000007,0.38965161041627966,2.1800000000000015,0.12999999999999998,0.0,1.0,0.07445287704467773,1.645171880722046,0.009938018,0.0053566666,-0.02100402,-1.516903576154109,0.0,1.1496499999999996,40000,11.634525537490845,0.8358584598699687,0.6420251046761858,9.91133189201355,0.12215915558888085,0.10993648744910979,9.911432247877972,0.0,0.41279999999999994
7,9.817953109741211,-1.6233265210990355,12.689330063455824,80.38572509086669,-8.524222042444459,1.0265500000000005,0.39238195358604355,2.4599999999999915,0.10999999999999999,0.0,0.8,0.07272505760192871,1.6539857387542725,0.0064107697,0.004132295,-0.016455835,-1.5275458706486016,0.0,1.0265499999999996,40000,11.279233932495117,0.7287393345469395,0.4366492534739198,9.351152658462524,0.1588165626374275,0.15638373831071808,6.453738252795846,0.0,0.3576
8,9.877430438995361,-0.6547148104416937,13.706821396614592,68.15806415311279,-8.916424711061795,0.9192000000000007,0.3687063330077207,1.9100000000000015,0.02,0.0,1.0,0.07541489601135254,1.7206733226776123,0.009967376,0.006000899,-0.020754186,-1.440262764627911,0.0,0.9192000000000004,40000,10.546775817871094,0.5784741836920652,0.46253666494214346,9.77241563796997,0.17189962648974716,0.16222818013213808,6.707104568161939,0.0,0.3544
9,9.661880493164062,-3.2736401268707715,6.670214536975156,59.626776571032394,-12.820060576199891,0.8484500000000006,0.33728340827855763,1.8600000000000014,0.0,0.0,0.8,0.07367229461669922,1.6851768493652344,0.0064306525,0.0036763651,-0.016545644,-1.623600500852197,0.0,0.8484500000000001,40000,10.771995067596436,0.7697446247674099,0.41532272317294106,9.77327275276184,0.17895513971035568,0.15829359253120606,8.59330760778705,0.0,0.264
10,9.77720046043396,-1.514007021990057,12.306591808859963,80.56836939075394,-6.847817643233583,0.7734500000000005,0.36539102000459756,1.8900000000000015,0.0,0.0,1.0,0.07061481475830078,1.7065846920013428,0.009894074,0.0044596,-0.021573627,-1.612641152965983,0.0,0.7734499999999995,40000,10.234537124633789,0.653772286948684,0.49550068733085784,8.105838298797607,0.1971678090150993,0.19188506038500608,5.103154094116383,0.0,0.1936
11,9.669591426849365,-1.141056646136072,22.626886930965522,288.12025587631115,-9.861773211672336,0.6918000000000003,0.3182573801186709,1.6000000000000012,0.0,0.0,1.0,0.07793641090393066,1.6864793300628662,0.009894596,0.0015378804,-0.020584425,-1.5654827022829918,0.0,0.6918,40000,10.379217147827148,0.8424481259458579,0.5419647133897831,7.053964614868164,0.23351270487458795,0.20934786404410427,4.160537891780555,0.0,0.08440000000000002
12,9.570255041122437,-0.7437159310771341,14.342187141248775,90.84744432759601,-6.997116798755252,0.5843000000000004,0.3218641172917543,1.5900000000000012,0.0,0.0,0.8,0.0713813304901123,1.7087764739990234,0.006406642,0.0019462273,-0.016431019,-1.483306025162406,0.0,0.5843,40000,9.544936180114746,1.0433275060840348,0.5890255487767798,7.074387788772583,0.312469314462974,0.27437956396484786,4.268894106477458,0.0,0.06960000000000001
13,9.595987558364868,-1.558895570874389,12.575121741884967,80.26386754205632,-11.12996280042368,0.5100500000000002,0.2828860150307896,1.400000000000001,0.0,0.0,0.8,0.0745396614074707,1.645195484161377,0.0064056595,0.002492818,-0.016864104,-1.4908649797336042,0.0,0.5100500000000001,40000,9.43091082572937,0.6086927006633428,0.4645884840058248,7.455843448638916,0.3270572295076946,0.279336499065662,4.6008840501801025,0.0,0.0732
14,9.476913452148438,-2.2542811368346416,10.141939962637776,83.29997204346905,-9.443200163259268,0.48755000000000026,0.27045609163041623,1.6000000000000012,0.0,0.0,1.0,0.07209610939025879,1.6447017192840576,0.009954231,-0.004703731,-0.020218102,-1.567206595443708,0.0,0.48754999999999993,40000,9.174057006835938,0.7680836420508548,0.5498708079932617,7.688149452209473,0.29092409108384776,0.28962780039445585,4.313313767416074,0.0,0.09
15,9.468455076217651,-1.2203465282767154,13.894290275777678,94.341540724566,-10.519374983578864,0.3780500000000002,0.22678337130398268,1.1200000000000008,0.0,0.0,1.0,0.07092046737670898,1.679605484008789,0.009830214,0.0027224058,-0.019907901,-1.5325205887270086,0.0,0.37805000000000005,40000,10.751295328140259,0.6924183422264861,0.41071652046451684,7.186420440673828,0.44507670787908005,0.34881087173631325,-0.22547345962658116,0.0,0.036800000000000006
16,9.677662134170532,-2.2979273733951184,10.051767620309338,75.58771786963811,-8.20972732368013,0.32265000000000016,0.2059380428672664,1.2000000000000008,0.0,0.0,1.0,0.07397627830505371,1.641571283340454,0.009966202,-0.022635736,-0.0062849764,-1.6090612671938196,0.0,0.32264999999999994,40000,11.48753046989441,0.7152059225862823,0.440103193291965,7.846336126327515,0.4258228591175306,0.36845237769742156,-3.154045920773084,0.0,0.0716
17,10.111145257949829,-2.740838030496821,8.786910644693329,68.25742771389794,-6.541086856372376,0.3445000000000002,0.21665583306248662,1.0000000000000007,0.0,0.0,1.0,0.07697486877441406,1.79134202003479,0.0099008,0.0018081476,-0.019576676,-1.7222389435241199,0.0,0.34450000000000003,40000,11.051783800125122,0.6862712367660218,0.5037077052587339,7.520346641540527,0.36223156387833344,0.35262254264633924,-0.5118809267404566,0.0,0.058800000000000005
18,10.117040157318115,-2.31827981154928,11.037967867653776,93.21038539627249,-10.647949647112396,0.2638000000000001,0.1934413606238336,1.0300000000000007,0.0,0.0,0.8,0.07947945594787598,1.8302571773529053,0.006404173,-0.017975172,-0.0015364273,-1.781843030326636,0.0,0.26379999999999987,40000,11.04067325592041,0.58914969607834,0.47354825316587956,7.564001560211182,0.5008442650345463,0.46043790841893684,-0.9924774437871667,0.0,0.07839999999999998
19,9.866146326065063,-3.5420857357026345,4.691518975013796,37.06942293967374,-11.154717526339848,0.2525500000000001,0.1962039691239707,1.0800000000000007,0.0,0.0,0.8,0.07802844047546387,1.811537742614746,0.0064470274,-0.011476393,-0.011128089,-1.957867300864236,0.0,0.25254999999999994,40000,11.921430110931396,0.7523410655957683,0.387629686058977,6.76292872428894,0.48761348938683163,0.49080919179591803,-3.2923174826312804,0.0,0.1284
20,10.109097957611084,-2.91621180747394,10.551862912740292,100.44066969248985,-11.006296008248361,0.2423000000000001,0.19429284598255298,1.1100000000000008,0.0,0.0,1.0,0.08937978744506836,1.8968465328216553,0.009976652,0.005526281,-0.019981572,-2.0537017515252063,0.0,0.24230000000000007,40000,11.24396276473999,0.6044791827918177,0.25196403774601234,5.720280408859253,0.4753037842566695,0.4564390572592594,-3.242607430688275,0.0,0.1276
21,9.961329460144043,-3.8320038369056473,5.903595129428669,74.60240150381294,-12.614461097297498,0.23430000000000006,0.19628171081381995,1.0200000000000007,0.0,0.0,1.0,0.08235526084899902,1.867821216583252,0.009901505,-0.021335697,-0.0046898946,-2.2315319600632506,0.0,0.2343,40000,10.567292213439941,1.0963243256221353,0.7166423966674133,5.5020623207092285,0.49419505975687356,0.4932389418277091,-3.223319402579553,0.0,0.1
22,9.967071294784546,-3.496850536937925,6.719202873925203,74.50072485330804,-7.440194196704919,0.22500000000000006,0.16964669168598612,0.9100000000000006,0.0,0.0,1.6455045573212124e-07,0.07619333267211914,1.908362627029419,0.0,2.5749207e-09,2.0980835e-09,-2.3580638177507183,0.0,0.22499999999999992,40000,9.980924367904663,0.7854398596490957,0.4318314100391571,5.071303129196167,0.4662483770617259,0.4565961322408264,-3.223293459462454,0.0,0.1
23,9.90437626838684,-4.0058834315266045,2.84977635396679,18.453158171853968,-7.633360970675689,0.22040000000000007,0.18805541736413775,1.1700000000000008,0.0,0.0,4.0173451106474904e-07,0.07730841636657715,1.9069640636444092,0.0,3.4332275e-09,-2.5272369e-09,-2.522845779128307,0.0,0.22039999999999993,40000,8.96067762374878,0.5025354314552393,0.26839816613946427,5.460404872894287,0.5153461496895013,0.5249072954927027,-3.2232934495352725,0.0,0.1
24,10.008639812469482,-3.604926573312333,5.52953754889415,61.9213259763095,-10.560706584563544,0.22540000000000007,0.17369755323550196,0.9000000000000006,0.0,0.0,0.8,0.07736468315124512,1.8063404560089111,0.006435511,0.0026471645,-0.01587716,-2.63105385854671,0.0,0.22540000000000007,40000,9.370005130767822,0.6072829650897749,0.3148800114740239,5.5161426067352295,0.49421054092152344,0.4843594769509003,-3.2169580593282068,0.0,0.0404
25,9.806899785995483,-3.4161927151119924,7.07660545805218,79.81284354821669,-8.161633624350292,0.18395000000000003,0.16212000956081896,0.9900000000000007,0.0,0.0,0.8,0.07445740699768066,1.8742153644561768,0.006417093,-0.021971388,-0.007644828,-2.7095677442032384,0.0,0.1839499999999999,40000,10.580366849899292,0.7517049764142267,0.35731724616886057,5.908373594284058,0.5758547564848253,0.5512980517425637,-3.2603456295810287,0.0,0.0552
26,10.20238184928894,-2.8621360426572333,9.64415717010818,92.93007227603368,-7.612999128524488,0.17895000000000003,0.1593279558018618,0.6400000000000003,0.0,0.0,0.8,0.0796353816986084,1.8885796070098877,0.00650419,-0.010129133,-0.012730647,-2.724824574048638,0.0,0.1789500000000001,40000,11.220265865325928,0.6745708309745818,0.2541343184824527,5.638491153717041,0.5589829880632864,0.5514091782323177,-3.285142784233238,0.0,0.0196
27,9.663343667984009,-4.173621627321831,1.6553720758114097,12.025138646575844,-9.808423380798995,0.16915000000000005,0.15788849704775845,0.7900000000000005,0.0,0.0,3.2138760885179925e-07,0.08169436454772949,1.8427894115447998,0.0,3.671646e-09,-5.7220456e-10,-2.869704279375957,0.0,0.16914999999999997,40000,11.780208349227905,0.9997618562995446,0.09755604759659522,4.333958864212036,0.5781252097773029,0.5765853794699446,-3.2851428022256868,0.0,0.0196
28,9.559245824813843,-3.6701660998090633,5.550879915469671,67.61569417207603,-9.992639872745059,0.16745000000000004,0.14114530633357958,0.8100000000000005,0.0,0.0,6.277101735386703e-07,0.07346320152282715,1.6674582958221436,0.0,2.7894975e-09,-1.3923645e-08,-2.9497504614192676,0.0,0.1674499999999999,40000,10.250783920288086,0.7611519886164312,0.39878846556468467,4.220035791397095,0.5521859497988411,0.5559466336503022,-3.285142779513979,0.0,0.0196
29,10.001837968826294,-3.8564447091753458,2.5999940733281726,14.518664973254563,-12.36734098625461,0.16000000000000003,0.1627114009527299,0.9900000000000007,0.0,0.0,3.2138760885179925e-07,0.07327699661254883,1.657062292098999,0.0,6.1988825e-10,-1.9073486e-10,-3.0404198861948757,0.0,0.15999999999999998,40000,9.6207115650177,1.0165071359238478,0.3415382061034819,3.765406370162964,0.6307548086138354,0.6146900500169139,-3.285142712841561,0.0,0.0196
30,9.260820388793945,-4.16198659621852,2.5918803366232352,25.1213965640052,-11.310743414482243,0.15625000000000003,0.13614124099625366,0.7100000000000004,0.0,0.0,4.0173451106474904e-07,0.07354235649108887,1.663325309753418,0.0,5.6028365e-10,-2.479553e-09,-3.15257655719724,0.0,0.15625000000000008,40000,9.98412013053894,0.34229483018811346,0.1809612121612646,3.3904531002044678,0.5697561650997256,0.5786893790859873,-3.2851427068113033,0.0,0.0196
31,9.463618278503418,-3.8660489582461737,5.115198961309104,53.821852271987886,-9.854764390328938,0.15545,0.13081206939728465,0.6300000000000003,0.0,0.0,5.021681388309362e-07,0.07266712188720703,1.6603310108184814,0.0,2.193451e-09,1.1062622e-08,-3.2239237973021337,0.0,0.15544999999999998,40000,11.02794337272644,0.5270752439641258,0.2139389321334139,3.487786054611206,0.5505440036796546,0.5499865820224117,-3.2851427280130143,0.0,0.0196
32,9.364842176437378,-3.497053877885838,6.774545230856467,69.74099537289094,-9.155096765012054,0.15215000000000004,0.14527862024399882,0.8000000000000005,0.0,0.0,1.31640364585697e-07,0.07059574127197266,1.6403913497924805,0.0,1.144409e-09,-1.9073476e-10,-3.251236805360504,0.0,0.15214999999999995,40000,10.307240962982178,0.5555913998366444,0.1764140577401819,2.7618207931518555,0.601407819508715,0.6036438989803297,-3.2851427133510014,0.0,0.0196
