iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,time_cost_VF,VF_cost_error_before,VF_cost_error_after,eval_score,eval_success,eval_avg_cost
0,9.961991310119629,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,0.11560000000000006,0.25081993541184094,1.5200000000000011,0.0,0.0,0.9,0.08298206329345703,1.8155505657196045,0.008122985,0.026502827,-0.0019757599,-2.1597585517469557,0.0,0.11560000000000001,40000,1.065148115158081,0.9992773176349077,0.7896938583740187,1.0512361526489258,1.0226872800571878,0.7231861440046936,-4.513427389688441,0.0,0.06080000000000002
1,9.886796236038208,-1.3412309090176342,21.527644937925544,258.5909516884619,-8.864968818633793,0.11145000000000004,0.23290856038368377,1.350000000000001,0.0,0.0,1.0,0.07413721084594727,2.022165060043335,0.009998724,0.022011604,-0.00084379164,-2.0779057874740237,0.0,0.11145000000000001,40000,7.695723295211792,0.915506921382242,0.8471792776437829,4.78088903427124,0.7202327356263233,0.6897265023266003,-4.3387494775142486,0.0,0.0436
2,10.112500667572021,-2.133312028080817,10.881676230975437,61.47236750941162,-12.257779530888572,0.15560000000000007,0.28969231953919683,1.6400000000000012,0.0,0.0,0.9,0.0788414478302002,1.8014276027679443,0.008125761,0.020877784,-0.0032554306,-2.083446411534703,0.0,0.15559999999999996,40000,12.755568742752075,0.984314126402988,0.785935658306828,9.350895643234253,0.694430384947533,0.5658540731762046,-3.9277764607899677,0.0,0.0216
3,10.218664169311523,-2.2540053397670636,10.83463197677958,75.95596453333089,-7.514805488027169,0.11835000000000004,0.23335975981304075,1.340000000000001,0.0,0.0,0.9,0.07697391510009766,1.8018343448638916,0.008176889,0.021377001,-0.0033748741,-2.1005023043579394,0.0,0.11835000000000002,40000,13.255772113800049,0.8430064061515513,0.7658262073304626,9.770565748214722,0.6025929344267063,0.6638523410349458,-3.6551378388349294,0.0,0.0148
4,10.472198963165283,2.478800804044014,63.595282730785996,886.878150365465,-9.948625834173557,0.11175000000000004,0.20386622451990435,1.1900000000000008,0.0,0.5,0.9,0.08762788772583008,1.906749963760376,0.008479743,0.025760869,-0.0017048733,-1.642571993517744,0.5,0.11174999999999997,40000,12.36852478981018,0.9611035625808529,0.8819661721141303,9.736228466033936,0.6540854930071373,0.6893369991676538,-2.192503448677723,0.0,0.0072
5,10.560886859893799,-1.4876266151782496,12.020198841982792,77.55606737385446,-7.788356880916291,0.11330000000000004,0.22915520941056539,1.2000000000000008,0.0,0.0,0.9,0.08962059020996094,1.906280517578125,0.008135692,0.020052975,-0.0021343331,-1.6270774556837948,0.0,0.11329999999999998,40000,11.787668704986572,1.363378037811626,0.7203611419008525,8.64775824546814,0.7323165048157673,0.6721459513392133,-2.3741119911630126,0.0,0.0044
6,10.602854490280151,-2.663338415412161,8.098159750668167,54.279046970233104,-7.700755610409452,0.08705000000000002,0.17823523080468698,1.300000000000001,0.0,0.0,1.0,0.07915234565734863,1.891385793685913,0.009958997,0.022901747,-0.0030284945,-1.7307035516566316,0.0,0.08705,40000,11.490176439285278,0.9023205112445888,0.7443473080907809,8.980262279510498,0.710203129627582,0.7917160532827741,0.32766849675055026,0.0,0.0
7,10.764522790908813,-0.4040358308733821,14.191682314351592,85.34783402925159,-11.123757576861758,0.04760000000000002,0.13502310913321475,1.0100000000000007,0.0,0.0,0.9,0.080413818359375,1.9416637420654297,0.008174614,0.02079483,-0.0026157517,-1.5980367795783066,0.0,0.04759999999999997,40000,11.367483615875244,0.7674908844558094,0.7002660255471427,9.718762636184692,0.8756981102543717,0.9393046065241429,1.74086315640021,0.0,0.0
8,10.767270803451538,-1.2302013823317919,11.87952884303791,60.35706603864269,-7.2020120294519,0.04525000000000001,0.1081708717723954,0.6700000000000004,0.0,0.0,0.9,0.08232450485229492,1.9785349369049072,0.008247408,0.019745838,-0.00021190396,-1.5612532398536552,0.0,0.045250000000000005,40000,10.845144033432007,0.6732148548289598,0.6198799121406999,9.209306240081787,0.9317178077969197,0.9307789580777273,16.490172106960888,4.0,0.0
9,10.576937675476074,1.0288051933373992,50.79163982461155,707.544681663294,-11.580989026621204,0.024950000000000007,0.07131617979112456,0.6100000000000003,0.0,0.5,0.9,0.08277297019958496,1.9349172115325928,0.008105623,0.050607506,-0.0012729102,-1.3022473965345498,0.5,0.02495,40000,10.508569478988647,0.9572058518441134,0.8922794650677718,8.265854835510254,0.955901457666378,0.9444756827763483,53.3391323863781,4.0,0.0
