iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.353325605392456,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,"(0.0, 441000)",118.59749334470013,0.05,0.07419323921203613,1.4766137599945068,0.025242994,0.04806008,-2.1597585517469557,0.0,441000,40000,1.5740482807159424,0.9992773176349077,0.7896604180589247,-4.533630908442058,"(0.0, 54890)"
1,9.85148549079895,-2.239849585088249,13.100873018470832,104.34916098184948,-9.378768246597959,"(0.0, 440060)",141.0726969809458,0.05,0.07421183586120605,1.4072346687316895,0.026446905,0.03879073,-2.167767655081085,0.0,440060,40000,4.285902500152588,0.8943257117760663,0.8350608792614651,-4.228811029899615,"(0.0, 54530)"
2,10.756710529327393,-2.008737053435932,11.228457427381858,81.93752040098141,-7.7116736609112335,"(0.0, 437900)",139.4931311590135,0.05,0.0752110481262207,1.5072762966156006,0.025723547,0.037370082,-2.1518645949165696,0.0,437900,40000,6.823033571243286,0.8269337231065722,0.7503307834623767,-3.1958754452585993,"(0.0, 53760)"
3,10.865445137023926,1.7900254067229673,65.0480500160118,910.2396294147762,-10.303648180977973,"(0.5, 432120)",151.56970633646,0.05,0.07503914833068848,1.5214664936065674,0.0245577,0.025668591,-1.757675594752616,0.5,432120,40000,6.629236459732056,0.9533198465394989,0.7719172376302978,-3.701628783729408,"(0.0, 52940)"
4,10.763745784759521,1.9351744068520011,45.24651476318329,615.3766517566596,-9.896641234196064,"(0.5, 422230)",149.57209175518605,0.05,0.07406497001647949,1.5019075870513916,0.025203591,0.042268183,-1.3883905945921544,0.5,422230,40000,6.330050706863403,0.9623424248130448,0.8944744294164687,-3.404671775253706,"(0.0, 52850)"
5,10.767727851867676,2.1862802482889077,38.397971882445184,362.7934245842008,-7.71801253042013,"(0.5, 415520)",126.71172890099076,0.05,0.07331228256225586,1.487415075302124,0.025416601,0.052286297,-1.0309235103040482,0.5,415520,40000,6.5581934452056885,0.8227620965214268,0.7484760025375297,-3.554520920134373,"(0.0, 52030)"
6,10.963852167129517,-1.1206838165937996,14.0479183728762,101.98904792719154,-11.669531511819665,"(0.0, 414000)",124.86930479508806,0.05,0.07230687141418457,1.4720780849456787,0.025635105,0.04449185,-1.0398995409330234,0.0,414000,40000,6.459118604660034,1.3342439482065982,0.8368300932163745,2.4666507182780735,"(0.0, 49670)"
7,10.168323040008545,2.540951563300006,40.417970558957045,491.6349373661961,-11.415104306017207,"(0.0, 415160)",88.68865617634182,0.05,0.07682657241821289,1.4711294174194336,0.02429104,0.03477154,-0.6818144305097205,0.0,415160,40000,6.1508495807647705,0.935199062151084,0.8223611462080109,11.269095073896965,"(0.0, 49800)"
8,10.478790044784546,4.379363688184389,42.07576659974639,411.95976241924546,-8.132957059025948,"(0.5, 411580)",126.7938757474696,0.05,0.07707810401916504,1.459540843963623,0.024812372,0.04776267,-0.17569661864030944,0.5,411580,40000,6.15340781211853,0.8114995039350545,0.7063446444014868,0.7873310084084733,"(0.0, 50240)"
9,10.365044593811035,0.37300764384518703,22.97089051605401,276.86721414939126,-8.55502116657895,"(0.0, 418230)",136.3021855418876,0.05,0.07678747177124023,1.4971275329589844,0.025184117,0.041858744,-0.12082619239175979,0.0,418230,40000,6.041417837142944,1.016460143680974,0.8851482301890373,11.522706422471687,"(0.0, 48740)"
