iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,17.995819568634033,-2175.3597585517473,378.3130402370414,-1186.4010763437077,-3905.670620342859,"(0.0, 434640)",155.40308120307697,0.05,0.1122894287109375,3.113736867904663,0.024903947,0.03231317,-2175.3597585517473,0.0,434640,40000,3.305485486984253,0.9998238414863756,0.06359432232785517,-2050.481636706639,"(0.0, 51170)"
1,17.914000034332275,-2065.9265889971616,335.84972616870476,-836.6676928708644,-3474.347566001879,"(0.0, 412920)",145.44556791855132,0.05,0.17337560653686523,3.2931644916534424,0.025029968,0.0340527,-2164.4164415962887,0.0,412920,40000,5.143477916717529,0.06245979878511796,0.02859344449065755,-1971.5900624327478,"(0.0, 49210)"
2,17.64378547668457,-2002.9036380351642,229.66573245390694,-856.979186964067,-2933.625254879732,"(0.0, 400180)",139.0481362829264,0.05,0.1254119873046875,3.713517427444458,0.024832476,0.035912342,-2148.2651612401764,0.0,400180,40000,6.621296405792236,0.01779060543512442,0.01519089502607227,-1893.8556445500178,"(0.0, 47270)"
3,18.145609617233276,-1945.7301610869297,194.67803609533914,-1113.6409012103686,-2884.3008123791237,"(0.0, 388890)",138.84086540701483,0.05,0.09994363784790039,3.6372225284576416,0.025348583,0.03699913,-2128.0116612248517,0.0,388890,40000,7.150003910064697,0.016502650789293798,0.015189629733536464,-1879.9363420652166,"(0.0, 46920)"
4,18.0694580078125,-1896.4553539720782,227.0666700242782,-764.1919037938434,-2913.7961704982163,"(0.0, 379270)",149.03086228569163,0.05,0.1226186752319336,3.8512022495269775,0.025921041,0.034545463,-2104.8560304995744,0.0,379270,40000,9.215254545211792,0.023053855661449546,0.021072284848328304,-1794.7713076633613,"(0.0, 44870)"
5,17.84873104095459,-1894.3972072675556,220.9862926312021,-738.0370135669816,-2554.1484892774442,"(0.0, 378900)",149.4976689596143,0.05,0.1254563331604004,3.292858600616455,0.025028119,0.03332558,-2083.8101481763724,0.0,378900,40000,8.700616121292114,0.020573021285112864,0.019568007575196562,-1812.5661114141994,"(0.0, 45270)"
6,19.04773235321045,-1916.6308081843295,164.187985693347,-758.7447579474339,-2593.8238310331435,"(0.0, 382980)",145.57826504423628,0.05,0.12732815742492676,3.3030200004577637,0.025146864,0.03495987,-2067.092214177168,0.0,382980,40000,9.414348125457764,0.012095914811209646,0.011305009897054597,-1722.5222282229122,"(0.0, 43210)"
7,20.272212505340576,-1904.2363096856848,195.11814547130467,-811.8130326328582,-2444.011505845106,"(0.0, 380650)",147.83649848830274,0.05,0.1186983585357666,3.6864101886749268,0.025254685,0.035367142,-2050.80662372802,0.0,380650,40000,8.294514417648315,0.015282061062322258,0.014480398837855785,-1674.2281769462095,"(0.0, 41990)"
8,19.84956121444702,-1885.7258218255529,234.88614769428844,-513.405900064145,-2616.5825220182933,"(0.5, 377550)",142.04044417217224,0.05,0.25301265716552734,3.497040271759033,0.025595974,0.053532194,-2034.2985435377734,0.5,377550,40000,9.53773832321167,0.0225967517577247,0.02144038884658037,-1662.7087379091258,"(0.0, 41770)"
9,19.464903831481934,-1906.7698858090182,164.9662394375338,-947.4682301173752,-2224.674502830957,"(0.0, 381040)",148.49131168191292,0.05,0.17610931396484375,3.639451742172241,0.025026867,0.035753805,-2021.5456777648978,0.0,381040,40000,9.352079153060913,0.011402105540253,0.010609148742828627,-1698.7396086004667,"(0.0, 42590)"
10,19.180352210998535,-1895.977847741532,224.98135382197344,-369.1350067922382,-2274.07629005612,"(0.0, 379310)",155.68515744651802,0.05,0.13640761375427246,3.28959321975708,0.02518879,0.033321038,-2008.9888947625614,0.0,379310,40000,7.1745171546936035,0.01897688039097469,0.01822817349254601,-1589.9170408061962,"(0.0, 40030)"
11,17.630829095840454,-1905.4565453183056,188.63930447018544,-572.1298284168573,-2477.710245616704,"(0.0, 380830)",135.53425689346787,0.05,0.10737133026123047,3.4746453762054443,0.025196698,0.03927475,-1998.635659818136,0.0,380830,40000,8.463963270187378,0.015007201229577948,0.014027903273796938,-1675.68236919749,"(0.0, 42060)"
12,17.80454707145691,-1881.4697583275015,212.9888994246864,-709.4463932227382,-2273.7891766719254,"(0.0, 376210)",156.488804155118,0.05,0.17409467697143555,3.817448854446411,0.025011597,0.03360263,-1986.9190696690725,0.0,376210,40000,7.3789222240448,0.018683112885895976,0.018332135411202977,-1692.6827268706193,"(0.0, 42430)"
13,18.254682779312134,-1871.2205012770096,246.49441879096855,-637.9524361320061,-2584.719227740611,"(0.0, 374440)",147.17664297753228,0.05,0.23819541931152344,3.5129737854003906,0.024955375,0.033799056,-1975.3492128298662,0.0,374440,40000,6.554064512252808,0.0242463118910331,0.023029022685097666,-1747.7332988588303,"(0.0, 43670)"
14,17.968028783798218,-1893.2127267919514,215.3728880230283,-555.6070536571369,-2561.1245032959773,"(0.0, 378500)",142.63433487838688,0.05,0.09749722480773926,2.9743940830230713,0.024970721,0.03615075,-1967.1355642260748,0.0,378500,40000,7.18021297454834,0.016827377718488135,0.016301240612749093,-1812.6988199426016,"(0.0, 45300)"
15,18.930219173431396,-1869.419028179026,239.59209161306063,-372.74453710458346,-2063.3290094537556,"(0.0, 373950)",138.01543164672535,0.05,0.17237257957458496,3.724924087524414,0.025251292,0.03673738,-1957.36391062137,0.0,373950,40000,7.517612457275391,0.02093126304719852,0.020377277454725243,-1815.8318806977366,"(0.0, 45380)"
16,19.226408004760742,-1900.9915037109206,204.49355608781056,-336.65870749729004,-2524.6589289292256,"(0.0, 380320)",146.13198323194425,0.05,0.1257185935974121,4.221296072006226,0.02537594,0.034878336,-1951.726669930325,0.0,380320,40000,7.529895067214966,0.01682707412957239,0.015830934604579443,-1856.1174505024696,"(0.0, 46320)"
17,17.58534836769104,-1895.217271424616,179.71474597148318,-866.0541715443782,-2434.8720002947966,"(0.0, 378790)",135.02172895098684,0.05,0.16408109664916992,4.3916544914245605,0.025464648,0.040202055,-1946.075730079754,0.0,378790,40000,8.93723201751709,0.015627685702310486,0.01431901317356671,-1833.801587537803,"(0.0, 45760)"
18,18.984861850738525,-1869.413669924796,281.4901580637761,-410.1195311067514,-2515.08004743768,"(0.0, 374040)",145.1443824497347,0.05,0.15824341773986816,4.332294464111328,0.024992332,0.03551845,-1938.4095240642582,0.0,374040,40000,13.00071907043457,0.031949480150079236,0.030000599856162963,-1715.690460309954,"(0.0, 42960)"
19,19.325857877731323,-1903.7720402685952,168.96292022899095,-516.141200542372,-2395.1281346976616,"(0.0, 380380)",147.9150298343855,0.05,0.19467520713806152,4.241461992263794,0.024828397,0.03492259,-1934.945775684692,0.0,380380,40000,12.862853288650513,0.013766665841429162,0.011406686020644069,-1784.6440014484967,"(0.0, 44600)"
20,18.23642659187317,-1901.5351736820116,164.8455805575075,-650.6612030865662,-2296.1505035800196,"(0.0, 379950)",146.82677734595828,0.05,0.2079145908355713,4.041200399398804,0.025055194,0.036899325,-1931.604715484424,0.0,379950,40000,14.314350605010986,0.011537793968222897,0.010943028021830288,-1817.283195833037,"(0.0, 45350)"
21,18.30523681640625,-1886.086228130159,194.30004517876918,-634.4017741598323,-2143.9070108252035,"(0.0, 376960)",149.13262117424182,0.05,0.19124150276184082,3.9720306396484375,0.02530419,0.0348425,-1927.0528667489978,0.0,376960,40000,16.806590795516968,0.014736107236644964,0.014095562640798984,-1784.7113091311892,"(0.0, 44600)"
22,19.95888924598694,-1819.4504163838842,310.62412559423586,-383.20868948247886,-2103.494525086222,"(0.0, 364470)",154.92438866599585,0.05,0.17441391944885254,3.5929620265960693,0.025175411,0.033574384,-1916.2926217124864,0.0,364470,40000,13.628144264221191,0.03986725517374913,0.03693930195464291,-1747.0092023891298,"(0.0, 43740)"
23,18.90949583053589,-1841.2933946171088,292.03101549280797,-253.95947325986043,-2205.5000266707243,"(0.0, 368620)",160.2704753402618,0.05,0.13266587257385254,3.640369415283203,0.025152434,0.031319123,-1908.7926990029487,0.0,368620,40000,16.74706745147705,0.03248138803957383,0.030299822481977795,-1803.589502659113,"(0.0, 45010)"
