iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,11.061285734176636,-2207.159758551747,370.34194685155586,-1206.401076343708,-3925.6706203428594,"(0.0, 441000)",155.85755601382783,0.05,0.0782163143157959,1.5158569812774658,0.024930242,0.032202046,-2207.159758551747,0.0,441000,40000,1.6278517246246338,0.9998246701191006,0.0612327716829667,-2128.336072780862,"(0.0, 53120)"
1,10.257663488388062,-2114.0813374686213,307.972323388576,-791.6393848378127,-3514.24201557632,"(0.0, 422410)",146.8088886891435,0.05,0.07497620582580566,1.4917876720428467,0.024931462,0.033976328,-2197.851916443434,0.0,422410,40000,3.680098295211792,0.05507657493243614,0.022012841575377973,-2064.831971899131,"(0.0, 51530)"
2,11.062721014022827,-2058.257863836964,202.09292376447667,-1133.3513487569167,-2713.061795769812,"(0.0, 411240)",139.6770379690476,0.05,0.07912421226501465,1.5218408107757568,0.024782311,0.034873974,-2183.8925111827875,0.0,411240,40000,4.33853006362915,0.014787998287932544,0.012712142710402627,-1994.6501525699468,"(0.0, 49790)"
3,10.159587621688843,-1989.14979315416,228.59134447228988,-847.2262995220207,-2855.6227645705444,"(0.0, 397710)",148.112243178582,0.05,0.0774688720703125,1.4741251468658447,0.025149228,0.034847032,-2164.4182393799247,0.0,397710,40000,5.129114389419556,0.02087705078029838,0.019510948365603166,-1983.6600218690492,"(0.0, 49510)"
4,10.26673412322998,-1963.1659171462607,203.70505836332322,-858.1678425117755,-2684.736273103857,"(0.0, 392560)",134.97953656347767,0.05,0.07491159439086914,1.4997215270996094,0.025266288,0.03790071,-2144.2930071565584,0.0,392560,40000,4.7734153270721436,0.019485750366638802,0.01802637045154988,-1972.073924031768,"(0.0, 49220)"
5,10.364452600479126,-1987.687624591875,130.4566767850719,-1281.7323721538903,-2716.1497594469947,"(0.0, 397090)",147.4301436824238,0.05,0.07584333419799805,1.520141363143921,0.025834756,0.032947876,-2128.6324689000903,0.0,397090,40000,5.111059665679932,0.009194857310524595,0.008003025614060492,-1969.6923576671004,"(0.0, 49170)"
6,11.370965480804443,-1962.5711902643047,174.34043817297882,-762.309812535112,-2474.120673624521,"(0.0, 392280)",132.57482242009675,0.05,0.0761864185333252,1.4918506145477295,0.025142392,0.04089186,-2112.026341036512,0.0,392280,40000,5.134251832962036,0.014130240122381368,0.013356668020554827,-1939.251179214221,"(0.0, 48450)"
7,10.569329023361206,-1963.063837471419,177.82512685128108,-552.6802163468362,-2224.218730949183,"(0.5, 392890)",143.90777752914627,0.05,0.07413458824157715,1.482038974761963,0.025317041,0.036660213,-2097.1300906800025,0.5,392890,40000,5.153483867645264,0.013357965077265737,0.012960338275593696,-1897.5774320052594,"(0.0, 47490)"
8,10.563962936401367,-1942.080028722791,190.02983489634659,-622.820129880621,-2194.3993079217166,"(0.0, 388420)",140.40176616783478,0.05,0.07447624206542969,1.4920060634613037,0.024991615,0.0411303,-2081.625084484281,0.0,388420,40000,4.896345853805542,0.016859371276482932,0.015908912917347733,-1834.3448767806228,"(0.0, 46250)"
9,10.585447788238525,-1955.9564815085555,173.24604100411932,-892.9613018424619,-2233.903870929749,"(0.0, 390950)",142.7713217426317,0.05,0.0747823715209961,1.4597556591033936,0.025183516,0.03717568,-2069.0582241867087,0.0,390950,40000,4.907064199447632,0.013548564737833337,0.012995724959523332,-1837.4330473541702,"(0.0, 46120)"
