iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.457816123962402,-6.001603148293458,1.8635470659005529,2.6434384341804122,-12.756522689409989,"(0.0, 514450)",209.0084415525347,0.05,0.09721231460571289,1.4948186874389648,0.022712044,0.022589,-6.001603148293458,0.0,514450,40000,1.6251106262207031,0.9443416487597014,0.08173890720818376,-4.714087716061022,"(0.0, 54130)"
1,10.258246421813965,-5.448045378536465,2.6923839363517725,13.913386625179013,-12.587791680724166,"(0.0, 485150)",199.27925024476468,0.05,0.0977015495300293,1.479611873626709,0.023866426,0.026219297,-5.946247371317758,0.0,485150,40000,3.890821933746338,0.2797938880235761,0.2506169662453601,-4.280049324217549,"(0.0, 52300)"
2,9.460616827011108,-5.171768701458758,2.4841558900566927,20.188565754588065,-12.676735509464617,"(0.0, 463140)",192.9111818254412,0.05,0.0966196060180664,1.506157636642456,0.024446225,0.028609797,-5.868799504331858,0.0,463140,40000,6.1668853759765625,0.21375435585976268,0.1847168205112701,-4.264233214713031,"(0.0, 51090)"
3,9.76185131072998,-4.734252351921531,2.085515827211356,8.946314464672138,-10.72435906218895,"(0.0, 448520)",183.0564144844551,0.05,0.09783220291137695,1.4829528331756592,0.024629656,0.029370418,-5.755344789090826,0.0,448520,40000,6.739671945571899,0.21477766316384342,0.19588829637944535,-4.0878485218101615,"(0.0, 50540)"
4,9.987793684005737,-3.0100401987941865,11.633724127065959,152.59963554906386,-9.470977055531542,"(0.0, 430700)",161.43828136247583,0.05,0.10137367248535156,1.6150989532470703,0.023673533,0.0410724,-5.480814330061162,0.0,430700,40000,6.147385835647583,0.9790165635422546,0.9373252153626647,-3.427714264568246,"(0.0, 50050)"
5,9.666865348815918,-3.205009334969117,9.799688349489664,126.7577058208685,-8.32869795783571,"(0.0, 427560)",137.90883808453273,0.05,0.09724116325378418,1.4803106784820557,0.024353469,0.06739641,-5.253233830551958,0.0,427560,40000,5.885497331619263,0.95248079506709,0.9143514170076771,-3.298350787470506,"(0.0, 50290)"
6,9.967221021652222,-4.018403767389915,3.0210871563635835,13.64980257923922,-11.047010447998575,"(0.0, 426330)",168.42163887530185,0.05,0.09726190567016602,1.5711665153503418,0.023708174,0.029686784,-5.129750824235753,0.0,426330,40000,5.6268861293792725,0.5299077716549869,0.4697381833231108,-1.3526760515375538,"(0.0, 49190)"
7,9.968864917755127,-3.386962728108555,4.922287675407237,25.20484033439551,-15.823346353613282,"(0.0, 420780)",178.729372786541,0.05,0.0953061580657959,1.4816455841064453,0.02376087,0.02821562,-4.955472014623033,0.0,420780,40000,5.284637451171875,0.7315252431485578,0.6663846006164503,-3.8718455111912986,"(0.0, 50160)"
8,10.270572423934937,-3.3478627488878816,4.208218116055111,29.068947489564298,-11.076128106939015,"(0.0, 417450)",174.72666333617923,0.05,0.09717941284179688,1.4767892360687256,0.024444982,0.029957695,-4.794711088049518,0.0,417450,40000,5.3399817943573,0.7527127934600677,0.6717336863070907,-2.4727938959635587,"(0.0, 49710)"
9,11.166622400283813,-2.818126488386519,8.31367460939272,78.30980872057533,-11.826940298855181,"(0.0, 411550)",192.93438165546382,0.05,0.0981147289276123,1.4878733158111572,0.02453422,0.027684014,-4.597052628083218,0.0,411550,40000,5.5631678104400635,0.8913683588565608,0.7320993070347945,-2.211318763980579,"(0.0, 50460)"
