iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,10.681442022323608,-2532.2516031482937,495.0975092341224,-1813.3655846518418,-3881.148714008409,"(0.0, 505250)",215.77396491938762,0.05,0.18545913696289062,2.3783013820648193,0.022946736,0.021380367,-2532.2516031482937,0.0,505250,40000,1.8807346820831299,0.9998575502289713,0.09201729387153099,-2066.336374360422,"(0.0, 51530)"
1,16.02416467666626,-2317.2079176404686,405.5714648426438,-1781.9213511249254,-3619.3680588760785,"(0.0, 462350)",205.0730744921384,0.05,0.28305983543395996,3.248302698135376,0.024180831,0.023671081,-2510.747234597511,0.0,462350,40000,5.982608795166016,0.09720640973686895,0.03732806166185077,-2058.77582843597,"(0.0, 51330)"
2,17.02416157722473,-2215.577057419251,351.76047911550455,-1781.5555959597955,-3753.1186103888654,"(0.0, 442040)",190.19280721433194,0.05,0.14498662948608398,3.134204864501953,0.0243323,0.024402324,-2481.230216879685,0.0,442040,40000,7.356709241867065,0.03125901465644451,0.026645555482847076,-2045.1275844485726,"(0.0, 51010)"
3,17.198683261871338,-2136.0527309847193,298.31213784144006,-1788.8359049568548,-3380.470779015553,"(0.0, 426220)",188.03745623105866,0.05,0.21265745162963867,3.16469669342041,0.02433599,0.024836196,-2446.7124682901886,0.0,426220,40000,8.2749502658844,0.024482700926949708,0.022519413048307697,-1966.4094032807434,"(0.0, 49050)"
4,17.54903483390808,-2008.0098504605483,161.95010209388664,-1547.2048710466142,-2755.2025769465135,"(0.0, 400720)",186.95063252818423,0.05,0.17514395713806152,3.299656629562378,0.023762923,0.024897844,-2402.8422065072245,0.0,400720,40000,7.013436555862427,0.01688512434690975,0.009782170004254477,-1988.6921953620474,"(0.0, 49610)"
5,17.99838876724243,-1975.1191479794775,133.1908668054082,-1651.1560017795182,-2864.8118050235803,"(0.0, 394230)",191.97038489466416,0.05,0.22194838523864746,3.464310884475708,0.024605887,0.02438489,-2360.0699006544496,0.0,394230,40000,9.11576771736145,0.007535709982022496,0.006764342643074894,-1947.2961212079913,"(0.0, 48590)"
6,17.38480234146118,-1962.2033931015724,121.92248604027424,-1504.2125468967176,-2896.168318123275,"(0.0, 391680)",194.60930638825,0.05,0.1829984188079834,3.7323126792907715,0.02460946,0.023455447,-2320.283249899162,0.0,391680,40000,8.721166849136353,0.005932312679353457,0.005343370650009655,-1892.2568190227869,"(0.0, 47230)"
7,18.54743266105652,-1954.9960162639466,75.44184677032486,-1735.7176174467386,-2345.727214093052,"(0.0, 390160)",189.3335480364796,0.05,0.22355413436889648,3.6260952949523926,0.024515994,0.025034467,-2283.7545265356403,0.0,390160,40000,9.577880382537842,0.0026076115627049266,0.0021069179817947018,-1936.0214897048138,"(0.0, 48330)"
8,18.62868881225586,-1942.9275695492775,77.58024822758239,-1563.536041815106,-2459.7611929431346,"(0.0, 387750)",199.93482362963795,0.05,0.21042418479919434,3.7465732097625732,0.024111997,0.023964334,-2249.671830837004,0.0,387750,40000,7.615851402282715,0.0020048628956757255,0.001768251088832271,-1870.6648341485395,"(0.0, 46780)"
9,18.862060070037842,-1941.452286666234,119.21782088722186,-1080.374110144398,-2774.2660214085276,"(0.0, 387560)",184.7560429319603,0.05,0.14595842361450195,3.918431282043457,0.024257416,0.0253323,-2218.849876419927,0.0,387560,40000,9.63887333869934,0.005709231384641267,0.00553134562937777,-1947.4147791307862,"(0.0, 48590)"
