iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,constraint_violation,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,4.82582688331604,-2796.0022217957685,819.4046718827957,-1306.3851353181287,-6033.505415074242,"(0.0, 558009.2415741722)",197.82285630137682,0.05,0.04347634315490723,0.6675565242767334,0.024481315,0.023931643,-2796.0022217957685,0.0,558009.2415741722,40000,0.8554162979125977,0.9998876369606043,0.16513007976435481,-2704.810688079559,"(0.0, 67434.85929841605)"
1,4.855782508850098,-2301.2335731362123,651.7713651428484,-811.5666911687125,-4798.527280093964,"(0.0, 459135.49351410335)",209.0102892353884,0.05,0.04671883583068848,0.7121374607086182,0.023351125,0.022037262,-2746.525356929813,0.0,459135.49351410335,40000,1.7342860698699951,0.19053509390049883,0.078767305408513,-2445.9154341601725,"(0.0, 60991.154190915455)"
2,4.8358070850372314,-2373.294241134963,751.3253116802289,-769.8085804613903,-4622.261606249821,"(0.0, 473553.9974145104)",183.58545269755788,0.05,0.043158769607543945,0.6910996437072754,0.02363607,0.025385395,-2709.202245350328,0.0,473553.9974145104,40000,2.066021203994751,0.09425551504996332,0.08006930169313138,-2047.7021686002324,"(0.0, 51059.86905219027)"
3,4.845556020736694,-2028.693045027344,624.1447244053012,-844.115532121543,-4748.282757431469,"(0.0, 404720.7861684123)",175.03775897281648,0.05,0.04516291618347168,0.689136266708374,0.024729919,0.027173951,-2641.1513253180296,0.0,404720.7861684123,40000,2.0372474193573,0.10441286695781832,0.08254547996807485,-1763.7682179707665,"(0.0, 43977.66711881118)"
4,4.945844650268555,-1757.1167361521057,514.2669516430268,-726.6453272009912,-3660.2110691002576,"(0.0, 350516.3236774763)",180.03944701647023,0.05,0.042490482330322266,0.6831707954406738,0.023163805,0.025218284,-2552.7478664014375,0.0,350516.3236774763,40000,2.1112821102142334,0.1042580880791596,0.07608953224585548,-1861.1255370513247,"(0.0, 46401.77776363681)"
5,5.045440435409546,-1625.6549605764042,438.36088597564435,-664.4974886617529,-3324.5266004564405,"(0.0, 324296.51472969534)",187.9923851920706,0.05,0.04500007629394531,0.6984479427337646,0.024707535,0.02504563,-2460.038575818934,0.0,324296.51472969534,40000,2.083897113800049,0.10885712096262928,0.08815285690772152,-1942.8185686830157,"(0.0, 48449.539729758064)"
6,5.053356170654297,-1434.8887466830943,350.1886382745627,-723.7251370188294,-2634.4004875278074,"(0.0, 286093.2087695323)",189.45505320501704,0.05,0.045282602310180664,0.6822946071624756,0.024246667,0.02553665,-2357.52359290535,0.0,286093.2087695323,40000,2.1021292209625244,0.08637857703046012,0.06789324475979207,-1490.8317330296115,"(0.0, 37177.80023398005)"
7,5.057298898696899,-1376.2411257907359,404.9616378721194,-586.3246319706525,-3166.082412187301,"(0.0, 274466.34547168156)",183.9299078194501,0.05,0.043363332748413086,0.7125294208526611,0.023333242,0.024633035,-2259.3953461938886,0.0,274466.34547168156,40000,2.1061439514160156,0.09751428728034511,0.08550395941978704,-1440.6730737819112,"(0.0, 35933.80116374792)"
8,5.060327053070068,-1298.0695429952173,367.4227004655133,-678.2881904000574,-3054.9594140118897,"(0.0, 258758.99390997962)",182.74714802033088,0.05,0.04471468925476074,0.685826301574707,0.023900656,0.024805615,-2163.2627658740216,0.0,258758.99390997962,40000,2.0599348545074463,0.0972699693377761,0.08624075413286124,-1375.761244893393,"(0.0, 34315.02907304047)"
9,4.94036602973938,-1222.3046657681477,322.08331446827447,-679.5434852104858,-2349.0711837953168,"(0.0, 243712.29562706256)",192.11983553776827,0.05,0.04274702072143555,0.6887209415435791,0.024390351,0.02491962,-2069.1669558634344,0.0,243712.29562706256,40000,2.0003018379211426,0.07367296294046907,0.06564823696173758,-1312.4467438952593,"(0.0, 32724.612600383756)"
10,5.055636882781982,-1048.5439759596472,259.75162960654615,-516.866082653112,-1871.447081040657,"(0.0, 208967.87896301696)",184.84517763551543,0.05,0.049300193786621094,0.69455885887146,0.025014471,0.025016768,-1967.1046578730557,0.0,208967.87896301696,40000,2.0470497608184814,0.10165233897855655,0.07149282945441583,-1245.9808750038987,"(0.0, 31059.183017571584)"
11,4.946161270141602,-1010.835325625345,268.92259351674295,-343.03749357184654,-2103.788455709464,"(0.0, 201443.4702642368)",191.60757114237225,0.05,0.04413414001464844,0.6920645236968994,0.024542857,0.02529049,-1871.4777246482845,0.0,201443.4702642368,40000,2.1043448448181152,0.07974198228227286,0.07340927678628137,-1229.2815952901706,"(0.0, 30667.18092479951)"
12,4.939998149871826,-912.9804464214591,212.6792766188313,-448.04120677057483,-1583.3111572752027,"(0.0, 181864.80985610568)",198.7682153334948,0.05,0.044064998626708984,0.6839451789855957,0.023970965,0.023681773,-1775.627996825602,0.0,181864.80985610568,40000,1.8915386199951172,0.07721064436303787,0.06542591183366919,-1009.210953953926,"(0.0, 25219.611719101173)"
13,4.953541040420532,-897.0404443625428,252.6811812974955,-264.4148692235846,-2073.1563086999595,"(0.0, 178739.53775599637)",185.40152875196253,0.05,0.04220175743103027,0.6906924247741699,0.024226896,0.025483696,-1687.769241579296,0.0,178739.53775599637,40000,2.013871431350708,0.0891287071337562,0.08293244441921412,-1056.8978159506548,"(0.0, 26346.178075524396)"
14,4.94533109664917,-874.4935419467005,227.47504990917392,-469.39713754930693,-1715.1288516944899,"(0.0, 174196.475693285)",188.96085686435728,0.05,0.04194974899291992,0.6818344593048096,0.025299583,0.024938557,-1606.4416716160365,0.0,174196.475693285,40000,1.993497610092163,0.07247135002140367,0.067836708989671,-971.4324788080601,"(0.0, 24241.727301060713)"
