iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,9.535686492919922,-3.975258551746956,11.521659752210962,72.93892365629196,-10.135414917930346,1.8155000000000012,0.2658942458948666,2.719999999999991,0.6200000000000003,0.0,0.7305780165405458,0.02,0.05515456199645996,1.486955165863037,0.009990678,0.030678948,-3.975258551746956,0.0,1.8154999999999981,40000,1.5515551567077637,0.9966246370614991,0.7686687318181394,-6.250454147098408,0.0,1.8223999999999996
1,9.660048723220825,-1.9210024848578917,36.80368190038778,495.0818820097348,-10.442647942826286,1.817050000000001,0.29259835525853495,3.5699999999999985,0.35000000000000014,0.0,0.8467844859384132,0.02,0.0565180778503418,1.4781935214996338,0.008101965,0.019550867,-3.7698329450580497,0.0,1.817049999999999,40000,4.411801099777222,0.9587050419567386,0.8791107663378948,-5.946130037614717,0.0,1.8007999999999997
2,9.565867185592651,-3.4150623927829393,13.285560633962339,101.42405100894281,-9.64080686329365,1.8180000000000012,0.25820534463871936,2.769999999999985,0.38000000000000017,0.0,0.9279077406949024,0.02,0.058982133865356445,1.4531047344207764,0.009989035,0.02208377,-3.734355889830539,0.0,1.8179999999999998,40000,6.4111175537109375,1.1096700950454619,0.7237574009572242,-5.911078619706235,0.0,1.7831999999999997
3,9.56609058380127,1.29280875321483,55.96363254953087,612.68629832845,-10.94058946600698,1.847150000000001,0.24139879349325613,2.719999999999986,0.5600000000000003,1.0,0.8917752902950006,0.02,0.05680370330810547,1.4511420726776123,0.009727619,0.025797114,-3.2316394255260024,1.0,1.8471499999999992,40000,6.1253180503845215,0.9366546444797376,0.7901788330640231,-5.915319250915445,0.0,1.7891999999999992
4,9.462165117263794,-3.2870174834358976,14.476240837301859,135.5463726155252,-14.138878461171725,1.8227500000000012,0.21928962013738804,2.52999999999999,0.6900000000000004,0.0,0.84978504417925,0.02,0.05552959442138672,1.4321496486663818,0.009914105,0.022588152,-3.237177231316992,0.0,1.82275,40000,5.800760984420776,1.9711093810467777,0.7815243973997316,-5.720540991661264,0.0,1.7319999999999995
5,9.960629224777222,-2.28079197053313,14.517539030773856,92.36147477544009,-10.080231125022904,1.7884500000000014,0.2719689274531193,2.509999999999996,0.5100000000000002,0.0,0.7936218092554725,0.02,0.055596113204956055,1.4229700565338135,0.008155399,0.020892315,-3.141538705238606,0.0,1.7884499999999992,40000,5.57743501663208,0.7063623614566814,0.6500682627174109,-5.572240083744451,0.0,1.7183999999999995
6,9.662227630615234,-3.84452508512267,13.849428784468088,160.7948093094035,-9.801452437078423,1.8028000000000015,0.20617749634720078,2.339999999999999,0.8700000000000006,0.0,0.8487413269590339,0.02,0.05646038055419922,1.4461596012115479,0.009753684,0.021583976,-3.211837343227012,0.0,1.8027999999999986,40000,5.7042295932769775,0.7430070063760463,0.6706242413582808,-5.512297367767934,0.0,1.7187999999999997
7,10.070364713668823,2.2185986758299414,49.16000404663694,598.3086255188051,-10.819197704566383,1.7726000000000013,0.31229511683662287,2.580000000000002,0.3200000000000001,0.0,0.8070040260293984,0.02,0.0572507381439209,1.4088201522827148,0.008216058,0.026797298,-2.6687937413213167,0.0,1.772599999999999,40000,4.866815567016602,0.9379714596125546,0.8485139642998484,-5.056717417927663,0.0,1.7923999999999995
8,9.768924474716187,-3.8053622315831195,11.799394486192474,65.99040298594731,-13.043291360104243,1.8166500000000014,0.21316021556566322,2.229999999999998,0.7900000000000005,0.0,0.758268304149902,0.02,0.05460834503173828,1.4228630065917969,0.00816291,0.021129107,-2.782450590347497,0.0,1.8166499999999997,40000,4.915950536727905,2.7717510196913286,0.7733729610758705,-0.34720072721704354,0.0,1.6723999999999994
9,10.060104370117188,-3.4754571473283375,12.520923395367854,92.93736936695922,-9.897784993321752,1.795750000000001,0.2295243723442022,2.399999999999993,0.7500000000000004,0.0,0.8178687021996,0.02,0.055741071701049805,1.4482157230377197,0.008105403,0.020198254,-2.8517512460455814,0.0,1.7957500000000004,40000,5.6928791999816895,0.745497754789188,0.6894339164032007,0.1416605055881584,0.0,1.7059999999999997
10,9.968480348587036,2.3372819357981665,44.06983057053943,500.4539365942529,-13.49297068682681,1.7656000000000014,0.255737443484524,2.0600000000000014,0.46000000000000024,0.0,1.187321974045674,0.02,0.0545351505279541,1.4489455223083496,0.009879544,0.019204598,-2.3328479278612066,0.0,1.7656,40000,5.7867584228515625,0.8930553656281334,0.8021654382525398,12.539507476347545,0.0,1.7163999999999995
11,9.769893884658813,1.2151503996235615,63.18243921416282,871.6153675531837,-9.588916235890382,1.7784500000000012,0.24395101455005275,2.3099999999999947,0.6300000000000003,0.5,0.931347191114722,0.02,0.05596661567687988,1.4288277626037598,0.009990081,0.027139967,-1.97804809511273,0.5,1.7784499999999994,40000,5.78151535987854,0.8915521616104954,0.8265813419672325,-3.904836798566775,0.0,1.7463999999999995
12,9.761384010314941,-2.9029008037897084,15.251235976467981,142.52446272514,-15.35001807867603,1.8033000000000012,0.23068833954060192,2.1899999999999973,0.7200000000000004,0.0,0.933939868526396,0.02,0.0560452938079834,1.4162817001342773,0.009983342,0.02064359,-2.070533365980428,0.0,1.803299999999999,40000,5.5086963176727295,1.0868709002540777,0.8374616065153188,1.4438850984208804,0.0,1.7131999999999994
13,10.075901985168457,-2.747183867898361,14.135708754809926,114.25785206552074,-13.92716276934195,1.789350000000001,0.2379980619668993,2.339999999999994,0.6600000000000004,0.0,0.6709328215614203,0.02,0.05685615539550781,1.492950677871704,0.008150919,0.023904858,-2.138198416172221,0.0,1.7893500000000009,40000,5.717098951339722,1.0114059503548378,0.7952808706890235,-4.918114669438762,0.0,1.7539999999999998
14,9.859164714813232,0.4002144546516916,27.0014594139572,191.39345552799185,-9.266305574069396,1.7993500000000011,0.22850181071492642,2.1599999999999997,0.5800000000000003,0.0,0.6639087426427188,0.02,0.0572972297668457,1.4606029987335205,0.008147542,0.03182533,-1.88435712908983,0.0,1.7993499999999987,40000,5.691070318222046,0.9234228985885691,0.8388497803323345,-0.6856815972128517,0.0,1.5891999999999995
15,10.070005416870117,-1.916891814262776,23.667843809145033,265.3642564219461,-14.058650864109962,1.7857000000000012,0.25287647181974066,2.1899999999999973,0.3300000000000001,0.0,0.70214949669328,0.02,0.057250022888183594,1.4433159828186035,0.008237698,0.026568763,-1.8876105976071247,0.0,1.7856999999999998,40000,5.332483530044556,0.8500206347392938,0.7211579718737319,-1.2021271940929297,0.0,1.5219999999999996
16,9.762869358062744,-3.0084478303142874,13.14801453343606,87.51538436636885,-13.767906474821705,1.7832500000000011,0.2371179822366917,2.249999999999996,0.5000000000000002,0.0,0.8233843936499641,0.02,0.05463528633117676,1.4720301628112793,0.009899656,0.023956915,-1.999694320877841,0.0,1.7832499999999993,40000,5.072776794433594,0.8436451480681479,0.6634972398015069,12.531391491794222,0.0,1.5279999999999998
17,10.166048049926758,1.2179247867816754,37.30741072686641,437.4438969431548,-15.197111274540948,1.7788500000000014,0.2582928134888775,2.209999999999997,0.4100000000000002,0.0,0.8840043913066505,0.02,0.054971933364868164,1.3976342678070068,0.008103848,0.020729074,-1.6779324101118895,0.0,1.7788499999999994,40000,5.664193630218506,0.8949442367991338,0.7815037678233919,3.8424881789779426,0.0,1.5279999999999998
18,10.172919750213623,-0.326633681298412,22.53878763566571,190.1346048493689,-9.677133167197958,1.7518000000000011,0.29739495624505824,2.4700000000000015,0.34000000000000014,0.0,0.8336621481224854,0.02,0.055437564849853516,1.4420843124389648,0.008110982,0.019310387,-1.5428025372305418,0.0,1.7517999999999991,40000,5.448744773864746,0.7727972061329668,0.5791349392165975,4.791584953456422,0.0,1.5055999999999998
19,10.06006383895874,-1.0006546805457424,25.379935904601336,265.5477691717736,-13.777680062040181,1.778900000000001,0.22241805232489578,2.0500000000000003,0.7400000000000004,0.0,0.9668542501133917,0.02,0.056552886962890625,1.4343066215515137,0.009890726,0.020986933,-1.488587751562062,0.0,1.7789000000000008,40000,5.191040277481079,0.8806418701184947,0.7800164380891951,6.161363844416757,0.0,1.4815999999999996
20,9.86780309677124,5.0995271908009165,60.667840125889946,685.5833443422209,-12.067308027246892,1.7802000000000013,0.24297728288875076,2.2699999999999956,0.35000000000000014,1.5,0.8838413689450711,0.02,0.05705904960632324,1.4546105861663818,0.008190753,0.021268936,-0.8297762573257641,1.5,1.7801999999999987,40000,5.413593292236328,0.8983688996750779,0.7855620009070929,1.5262438188454768,0.0,1.4964
21,10.059578657150269,-2.78929102387576,16.217687205649842,132.51770531789668,-13.617511258278068,1.8030000000000013,0.21004761364985808,2.2100000000000017,0.5900000000000003,0.0,0.749337197492033,0.02,0.054358482360839844,1.447981595993042,0.008118318,0.020841666,-1.0257277339807638,0.0,1.8030000000000002,40000,5.380998849868774,2.0382944773430323,0.7493798362167704,4.89462847811075,0.0,1.5499999999999998
22,10.36291217803955,4.700405829083053,55.26258631766953,673.7475180716453,-10.999923952236134,1.7405000000000013,0.28767472951234374,2.169999999999999,0.3000000000000001,0.5,0.8081631817053129,0.02,0.056316375732421875,1.4811515808105469,0.008122349,0.023194274,-0.4531143776743821,0.5,1.7404999999999993,40000,5.319285869598389,0.8394321132326921,0.6833349991957904,6.356118037038108,0.0,1.4424
23,10.26105546951294,5.825678041012759,45.33177004217674,391.2871202230391,-14.795486900851001,1.740100000000001,0.30915366729185034,2.3699999999999934,0.47000000000000025,0.5,0.8621044087598517,0.02,0.05376744270324707,1.4542067050933838,0.0099694645,0.024993174,0.17476486419433201,0.5,1.7401000000000002,40000,5.449326038360596,0.9228003559704004,0.786381628777933,5.4757321752001955,0.0,1.5187999999999995
24,9.961117029190063,2.241391731351214,24.653797886523197,157.8628458122293,-10.078786380522873,1.7282500000000014,0.2680232032865813,2.1500000000000017,0.6400000000000003,0.0,0.7450091464169534,0.02,0.05325961112976074,1.4268178939819336,0.008123172,0.020952275,0.38142755091002023,0.0,1.7282499999999983,40000,5.365786790847778,0.8957558846061134,0.7019367058098634,4.648119110386194,0.0,1.4448
25,9.959195375442505,2.356235357163181,31.996215930632616,228.9833973550069,-14.347593363708226,1.7687500000000012,0.23795994936123202,2.0500000000000003,0.5800000000000003,0.0,0.9460153532036435,0.02,0.05645751953125,1.4723145961761475,0.009847853,0.022831218,0.5789083315353363,0.0,1.7687499999999998,40000,4.846524238586426,0.8062312423969629,0.6892284319738281,16.90068772061052,0.0,1.3995999999999997
26,10.26423692703247,14.264451604349015,103.69243231978571,1069.0155139014305,-13.56200644454831,1.6928500000000013,0.35024473943230067,2.1400000000000015,0.20000000000000004,1.0,0.9114089869194437,0.02,0.056063175201416016,1.4754018783569336,0.009951833,0.025629202,1.947462658816704,1.0,1.6928500000000013,40000,4.924198389053345,0.8454471913278996,0.6867540428951482,12.730554216563942,0.0,1.4567999999999999
27,9.857866287231445,11.068002519147747,92.70460467198508,967.8892410095256,-12.479771686608666,1.7650000000000012,0.2856396331043718,2.06,0.5100000000000002,1.5,0.8571322719247492,0.02,0.05624532699584961,1.4590389728546143,0.008141595,0.0197436,2.8595166448498084,1.5,1.7649999999999995,40000,5.033565998077393,0.7934454640841198,0.7122191003355365,47.33682634241569,4.0,1.472
28,9.963853359222412,6.054496683331701,64.41153750642533,819.7621323912663,-11.885223416996388,1.7640500000000012,0.2931792924133628,2.61,0.47000000000000025,0.5,0.8614427980257228,0.02,0.056730031967163086,1.4626710414886475,0.009902261,0.026595293,3.179014648697998,0.5,1.7640499999999995,40000,4.9996466636657715,0.9813807161335907,0.7559125164774051,24.50767827105027,0.0,1.4280000000000002
29,10.264005422592163,13.636118713660915,78.60460628381736,648.4153528551597,-11.400802921278455,1.7323500000000012,0.3018376674638209,2.109999999999999,0.3200000000000001,1.5,0.9095394816923731,0.02,0.05579781532287598,1.4645941257476807,0.009892819,0.023654817,4.22472505519429,1.5,1.7323499999999996,40000,4.655686616897583,0.7718925317513208,0.6299023663082189,61.39340121539538,4.0,1.4563999999999995
