iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,step,time_vpg,time_npg,kl_dist,surr_improvement,surr_cost_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,time_cost_VF,VF_cost_error_before,VF_cost_error_after,eval_score,eval_success,eval_avg_cost
0,9.739628553390503,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,1628.2,337.5037184980337,2600,490,0.0,1.0,0.055420637130737305,1.4529569149017334,0.009994753,0.012952448,-0.020540763,-2.1597585517469557,0.0,1628.2,40000,1.4712917804718018,0.9992773176349077,0.7896604180589247,1.500347375869751,1.000014206909014,0.08833645220979781,-4.164970734303489,0.0,1613.6
1,9.557506322860718,-0.670293244966375,15.651964389697255,80.02037064880476,-8.548755338528688,1547.45,381.855990525224,2880,210,0.0,1.0,0.05508542060852051,1.6870253086090088,0.009894023,0.007446398,-0.021547735,-2.010812021068898,0.0,1547.45,40000,4.258868217468262,0.7914802252559252,0.6816453712030718,3.266819715499878,0.10882661100779789,0.0727524352790597,-3.805464459475802,0.0,1504.4
2,9.654814958572388,-2.1413898109267655,10.953674889461121,79.93183107580187,-10.435510663892583,1540.9,336.3988555271852,2280,270,0.0,0.9,0.05598163604736328,1.5066683292388916,0.008170433,0.008278732,-0.018890543,-2.0238698000546846,0.0,1540.9,40000,6.168010234832764,0.8060503302447771,0.7104310156986593,4.6267149448394775,0.06262862102355989,0.058027647485992664,-3.563747440408347,0.0,1364.0
3,9.68480658531189,1.4682440718533538,45.70182914264692,626.2390461282095,-7.489705809781525,1377.05,378.3051645166901,1950,250,0.5,0.9,0.05601954460144043,1.5036168098449707,0.008102066,0.004016794,-0.019461576,-1.6746584128638808,0.5,1377.05,40000,6.106252193450928,0.9379692783828278,0.8292904891136581,4.838059902191162,0.09222707867892552,0.08367526829861179,-2.30524596199351,0.0,1138.4
4,9.65815258026123,-1.0200008839494992,12.154590535158325,72.779022428015,-11.67769607816911,1317.4,358.32979223056515,1990,200,0.0,1.0,0.05789971351623535,1.4062707424163818,0.009994569,0.0060178395,-0.020946402,-1.6091926599724427,0.0,1317.4,40000,6.263638257980347,1.3822720477934805,0.6680424862971651,4.770053386688232,0.08732692414833779,0.08479413976454506,-0.752539542562391,0.0,935.2
5,9.552690744400024,-1.976302713422803,10.285481726915316,69.64078914569576,-9.117545083463408,1208.75,372.43246031998876,1900,0,0.0,1.0,0.054422855377197266,1.4194080829620361,0.009963263,0.0079579055,-0.020638544,-1.6459036653174788,0.0,1208.75,40000,6.0481276512146,0.7031508574297046,0.614155668095458,4.521502256393433,0.10252102331587869,0.0948549356587937,1.766983377115623,0.0,626.8
6,9.55625033378601,-2.9263698200067165,6.990312308626582,58.903185910072295,-7.06920662947421,1140.05,371.9643766545393,1910,0,0.0,1.0,0.05478978157043457,1.4772086143493652,0.009864083,0.006048578,-0.020622395,-1.7739502807864027,0.0,1140.05,40000,6.115432977676392,0.8114988970379393,0.6532114186017136,4.954618453979492,0.11402483639720916,0.10539119468633705,-3.0226325385526036,0.0,490.8
7,9.456590175628662,-3.6023900560833058,4.426136327620245,34.994937262355485,-10.729824379724604,1049.0,335.6039332308249,1840,110,0.0,1.0,0.052457571029663086,1.451422929763794,0.009939427,0.0039264252,-0.020248756,-1.956794258316093,0.0,1049.0,40000,5.856318950653076,0.5842945554173994,0.49624169917724154,4.640548944473267,0.10937649921263078,0.09973668014559407,-1.288883361800696,0.0,418.0
8,9.59958291053772,-1.52751985460046,10.899215545841685,65.36143154981404,-9.51602662012689,891.55,349.9658519055824,1800,0,0.0,1.0,0.056395769119262695,1.4922237396240234,0.0099194385,0.0077252504,-0.021404294,-1.91386681794453,0.0,891.55,40000,5.6741273403167725,0.7198410600566665,0.5614151721950577,4.303192377090454,0.18520074887312962,0.15825395925476377,-1.7259012933217006,0.0,382.8
9,9.560547828674316,0.48631645567514853,38.580238506105374,515.0595232052336,-7.550899159350842,807.65,329.73470775761535,1600,30,0.5,0.9,0.05613279342651367,1.4442973136901855,0.008112813,0.0016566925,-0.019012766,-1.6738484905825621,0.5,807.65,40000,6.121967554092407,0.9196239681641163,0.7647492420534815,4.30793833732605,0.17355649201352055,0.16212100655162906,-0.049421613851160374,0.0,298.8
10,9.967983961105347,1.1902425885501506,35.924748216204364,475.0965706406834,-6.785938294954571,724.75,351.1038841995343,1770,0,0.0,1.0,0.056175947189331055,1.4237873554229736,0.009950889,0.0053763716,-0.02158116,-1.387439382669291,0.0,724.75,40000,6.144753932952881,0.7118969169794684,0.4482448666842521,4.535268783569336,0.22172764679715304,0.20394774346571368,-0.5472092152018625,0.0,212.4
11,9.462977886199951,-1.915691642498005,10.748837923126045,75.28535792517634,-6.496623342574135,655.85,343.78522001389183,1730,0,0.0,1.0,0.05484509468078613,1.4228692054748535,0.009951364,0.0031348092,-0.02044396,-1.4402646086521624,0.0,655.85,40000,5.300914287567139,1.42558639725023,0.764583422813636,4.113408803939819,0.2496245372080791,0.21243562826551957,-3.3260633336242758,0.0,212.0
12,9.554394960403442,0.8816400859492793,25.35877567577452,228.2057434951707,-6.762897079462832,577.6,312.9812134937176,1550,0,0.0,1.0,0.0542905330657959,1.449772834777832,0.009989277,0.0033197664,-0.021160314,-1.2080741391920182,0.0,577.6,40000,5.236194849014282,0.9163877414682704,0.748799427485334,3.6672487258911133,0.2727773715812574,0.2502274647584443,-1.4512873224468745,0.0,206.4
13,9.76157808303833,-1.3497550528263305,13.748629951235404,87.0466328027966,-9.34260576721791,476.45,284.0948741177848,1560,0,0.0,1.0,0.055939674377441406,1.4403393268585205,0.009992994,0.0067871627,-0.02145824,-1.2222422305554497,0.0,476.45,40000,5.6763081550598145,0.9436230497411351,0.6342502435989217,3.6987037658691406,0.31466686969758595,0.2801765233735644,-1.1328752960083608,0.0,116.0
14,9.863090753555298,-0.6182036675877682,15.185027125446572,136.38788824198403,-10.681876086543419,448.4,262.8829397279329,1190,0,0.0,0.9,0.05458879470825195,1.4300670623779297,0.008145776,0.0045467736,-0.019382736,-1.1618383742586815,0.0,448.4,40000,5.159574747085571,0.8379590391968224,0.6569017678141854,3.445124626159668,0.32293580798478877,0.29381187484579263,-1.6425555940650292,0.0,98.0
15,9.662164688110352,-0.5734231616301197,14.948786048669398,91.27893292674737,-12.11293493542527,361.25,237.36667310302852,1300,0,0.0,1.0,0.05503582954406738,1.4200172424316406,0.009967075,0.00556145,-0.020139096,-1.1029968529958254,0.0,361.25,40000,4.842481374740601,0.6768065462501303,0.49223226440257595,3.2594666481018066,0.38745031191812745,0.3396181961214966,0.7756109864044146,0.0,121.2
16,9.871396780014038,-0.7426957974446825,18.346312461785406,185.0543094081099,-7.079699594264101,341.95,227.84138671452996,1160,0,0.0,0.9,0.05426502227783203,1.4100000858306885,0.008126265,0.0035687927,-0.01882719,-1.0669667474407112,0.0,341.95,40000,4.702281475067139,0.6088727917295095,0.517842149182949,3.549814224243164,0.34815686927084344,0.30771915209588824,-1.441538892455283,0.0,58.4
17,9.354287147521973,-1.7098958647723845,25.468243740511454,347.8445026947678,-9.24418840190755,305.2,209.76644154869004,1410,0,0.0,1.0,0.05486488342285156,1.4433221817016602,0.009909291,0.0017049256,-0.021426078,-1.1312596591738786,0.0,305.2,40000,5.705904722213745,0.7690506516614224,0.5814118798237594,4.364500284194946,0.41677930078329106,0.3621922057985649,1.035932059159777,0.0,38.4
18,9.858163118362427,-2.3861066392765298,10.350365169824768,80.89284731628429,-9.78222974572762,250.15,206.15886471359897,1090,0,0.0,0.9,0.053136587142944336,1.403928279876709,0.008104333,0.0021593987,-0.018156737,-1.256744357184144,0.0,250.15,40000,5.9831860065460205,2.9197145910488067,0.6633788117293172,4.71648645401001,0.46879884455619597,0.43155859731491225,-0.6193670902005057,0.0,12.8
