iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success
0,8.847066164016724,-2.2740608357357592,10.19600124622099,69.28159266168916,-8.376758659433545,0.0,0.8654100379185642,0.02,0.055907487869262695,1.4526636600494385,0.009813235,0.025076728,-2.2740608357357592,0.0,40000,1.52213454246521,0.9988880088915655,0.8333807515455327,-4.650814126731771,0.0
1,8.748034715652466,-2.950437089965759,8.477954377941552,65.9021004702063,-10.897672580678982,0.0,0.869933161239501,0.02,0.056931257247924805,1.4393675327301025,0.009955265,0.024079325,-2.3416984611587592,0.0,40000,4.483696699142456,0.9245121220158118,0.8357061197691841,-4.4114479011884695,0.0
2,8.76118803024292,-3.9346218215580326,3.770568316530712,23.41859354625394,-10.977213058708815,0.0,0.8022067859044865,0.02,0.05682039260864258,1.4537439346313477,0.008138445,0.0201838,-2.500990797198687,0.0,40000,6.15243673324585,0.8067221536272239,0.6044447845980769,-4.149971203932525,0.0
3,8.85342812538147,-2.685457378959287,10.411793962752954,68.80115831418642,-7.521044975261522,0.0,0.8109953196804364,0.02,0.05353856086730957,1.420104742050171,0.008100505,0.021696158,-2.519437455374747,0.0,40000,6.098175048828125,0.9303629843159573,0.7641180664827921,-4.075206966635676,0.0
4,8.754442930221558,-2.340953688925045,9.850463475217477,61.308613923675104,-7.85515048730758,0.0,0.7927462384854126,0.02,0.05577492713928223,1.4087598323822021,0.008306659,0.021400725,-2.501589078729777,0.0,40000,5.078657865524292,0.855586848602566,0.749667483554452,-3.8709653065818337,0.0
5,9.154850244522095,-0.7471617240459435,18.191939753704034,182.15377805196485,-7.397390826150792,0.0,0.7523446216862818,0.02,0.05501079559326172,1.4344236850738525,0.008240605,0.025484508,-2.3261463432613936,0.0,40000,6.217438459396362,0.8670970091476963,0.7501937036027845,-2.87175089735097,0.0
6,9.065157890319824,3.1901955727027427,53.33139734931769,591.6943622605105,-8.912131730061693,0.5,0.5722078583783834,0.02,0.056702375411987305,1.4739344120025635,0.008178915,0.039178792,-1.7745121516649798,0.5,40000,5.5573976039886475,0.9391270960787299,0.8772691290631461,-3.0570760966235806,0.0
7,9.06537675857544,2.84312339308917,58.64780266541538,814.2587999775897,-8.262981137807726,0.5,0.7759863854449421,0.02,0.06586217880249023,1.5339415073394775,0.008253981,0.026226522,-1.3127485971895647,0.5,40000,6.900595664978027,0.9583914718615493,0.8975106559936568,-3.792107119497749,0.0
8,9.011288166046143,1.4642228361317762,26.482141990232456,278.276953692446,-8.666263791646918,0.0,0.8220844108507591,0.02,0.05375838279724121,1.4268155097961426,0.009823462,0.026121538,-1.0350514538574307,0.0,40000,6.460128307342529,0.833226275934037,0.6476365785457184,-3.3761408156262025,0.0
9,9.15522289276123,-1.0642822190280186,12.994628234502287,82.87035461087078,-7.4428274789661515,0.0,0.8151630823741476,0.02,0.05548501014709473,1.4817073345184326,0.008185518,0.019862128,-1.0379745303744894,0.0,40000,6.1660192012786865,0.8918704360462106,0.6420106819334345,-2.7882890285083732,0.0
10,9.164770603179932,1.8194253537597087,18.55641967105353,97.94431920904218,-7.446037943771521,0.0,0.7813879974174542,0.02,0.059990644454956055,1.551450490951538,0.008130442,0.02181243,-0.7522345419610696,0.0,40000,6.213886260986328,0.7338968858959821,0.5745197177822442,-1.1140976452665554,0.0
11,9.360291481018066,1.317787960749259,18.570460320274215,173.23764194787904,-7.609102829235781,0.0,0.8583060071580962,0.02,0.05436396598815918,1.4678184986114502,0.009791513,0.024900222,-0.5452322916900367,0.0,40000,5.694301605224609,0.8246635283311542,0.7586360943859539,-0.5420119395963066,0.0
12,9.489257574081421,3.9047807552403304,23.251100768576457,150.81899262834136,-8.658737978508658,0.0,0.8824912676162061,0.02,0.0965883731842041,1.6278727054595947,0.009996615,0.026813159,-0.100230986997,0.0,40000,6.1054298877716064,0.6734477955290344,0.5393421950721202,-0.02572186118148096,0.0
13,10.000424146652222,2.806495411077906,19.206797100887208,88.19301104470568,-10.695469065337543,0.0,0.8514375860925064,0.02,0.05629301071166992,1.5011725425720215,0.009939396,0.024031863,0.1904416528104906,0.0,40000,6.148978233337402,0.5229241944007622,0.4315189048520201,-0.1578797553637912,0.0
14,9.568590879440308,1.4499814239245674,28.613441729891246,318.6569211669886,-10.23742125926154,0.0,0.771139458500244,0.02,0.056059837341308594,1.608872652053833,0.008121559,0.022833692,0.3163956299218983,0.0,40000,5.684971332550049,0.8096528665765756,0.6874631242476217,2.1539763320504752,0.0
