iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,9.53429365158081,-2.1597585517469557,11.320501297221998,73.59892365629193,-8.255414917930349,0.11560000000000006,0.25081993541184094,1.5200000000000011,0.0,0.0,0.6762843941153133,0.02,0.0574641227722168,1.4749457836151123,0.008123097,0.026502864,-2.1597585517469557,0.0,0.11560000000000001,40000,1.4762136936187744,0.9992773176349077,0.7896604180589247,-4.513428208709686,0.0,0.06080000000000002
1,9.551581382751465,-1.4029622633950691,20.475881751163417,238.5756706562632,-8.86509419821767,0.11145000000000004,0.23285273779794832,1.350000000000001,0.0,0.0,0.9299906172951358,0.02,0.05647468566894531,1.4342598915100098,0.009985665,0.022195557,-2.0840789229117673,0.0,0.11144999999999998,40000,4.486648797988892,0.9085121648018657,0.8427301445180264,-4.336930304517222,0.0,0.045200000000000004
2,9.44986081123352,-1.3264109573221112,12.03954573538035,74.69494342354317,-7.831238085974767,0.15180000000000007,0.2788454051979342,1.5700000000000012,0.0,0.0,0.904617553850006,0.02,0.0568695068359375,1.4550437927246094,0.009986481,0.022327626,-2.0083121263528017,0.0,0.15180000000000002,40000,6.056360960006714,0.9066725422177528,0.7669626714548892,-4.059609990605265,0.0,0.013999999999999999
3,9.58793044090271,1.2251136875504633,41.996688773044376,557.6303764128825,-7.7418226718530505,0.12085000000000004,0.26010532001479725,1.490000000000001,0.0,0.5,0.8711959026051836,0.02,0.05658555030822754,1.4089882373809814,0.009739089,0.030322481,-1.6849695449624753,0.5,0.12085000000000008,40000,6.074655771255493,0.9312284777616484,0.8271894186914475,-4.0983231317033635,0.0,0.0116
4,9.55318808555603,4.188699982643301,46.98940195782477,424.67257965375427,-9.154348490290687,0.13250000000000006,0.23763785472857657,1.430000000000001,0.0,0.0,0.8154341043464803,0.02,0.05567502975463867,1.441108226776123,0.008118082,0.022076843,-1.0976025922018977,0.0,0.1325,40000,5.692606449127197,0.8924144590568416,0.8411720708626548,-4.066201523897499,0.0,0.0228
5,9.48323655128479,6.230830172034281,87.28790586014523,1110.622200562833,-8.038454942979497,0.13275000000000006,0.24093762159530022,1.420000000000001,0.0,1.0,0.9282908548520201,0.02,0.05684304237365723,1.4621105194091797,0.008125784,0.018618071,-0.3647593157782798,1.0,0.13274999999999998,40000,5.842226266860962,0.8873844246346207,0.7806373012176864,-4.076214689090432,0.0,0.027999999999999997
6,9.453579187393188,-3.1690185076800983,8.219098806630853,81.27104468915348,-7.863815019713402,0.11295000000000005,0.2115367521259605,1.350000000000001,0.0,0.0,0.7588740288074599,0.02,0.055556535720825195,1.423241138458252,0.008112169,0.021151718,-0.6451852349684617,0.0,0.11295000000000004,40000,4.917603015899658,7.185401836040818,0.8248866476223913,-3.6986360101259037,0.0,0.0196
7,9.552157878875732,0.36364146072032727,32.954285903906225,385.19629264497905,-7.342464943460487,0.05720000000000002,0.16939350636904604,1.0700000000000007,0.0,0.5,0.806331934165698,0.02,0.05550360679626465,1.4416558742523193,0.008201566,0.022244299,-0.5443025653995828,0.5,0.0572,40000,5.763662576675415,0.9164375776390533,0.8171621713701233,-3.9835774975889042,0.0,0.0176
8,9.698702096939087,-0.8736977232156938,14.798819224442568,105.08720729797693,-9.26624756828909,0.08060000000000002,0.17480171623871443,0.9500000000000006,0.0,0.0,0.7631432841657085,0.02,0.05588030815124512,1.418910264968872,0.008163416,0.0212271,-0.5772420811811939,0.0,0.08059999999999999,40000,5.953619003295898,1.0692076430883124,0.6730016035445349,-3.552133965128525,0.0,0.0028000000000000004
9,9.448964357376099,-3.3474623848334475,6.167593749467241,57.17818591315915,-8.2031239750271,0.05050000000000001,0.11146636263913885,0.7800000000000005,0.0,0.0,0.7865765475962059,0.02,0.056463003158569336,1.4483532905578613,0.0082671195,0.018897086,-0.8542641115464193,0.0,0.050499999999999996,40000,5.807100534439087,1.0908662756412473,0.7948648508309214,-2.350183814498621,0.0,0.002
