iteration,time_sampling,stoc_pol_mean,stoc_pol_std,stoc_pol_max,stoc_pol_min,cost_mean,cost_std,cost_max,cost_min,rollout_success,alpha,delta,time_vpg,time_npg,kl_dist,surr_improvement,running_score,success_rate,average_cost,num_samples,time_VF,VF_error_before,VF_error_after,eval_score,eval_success,eval_avg_cost
0,10.795311212539673,-6.001603148293458,1.8635470659005529,2.6434384341804122,-12.756522689409989,2254.45,516.5159218262298,3650,1050,0.0,1.3266251072146522,0.02,0.08354640007019043,1.8227627277374268,0.009503825,0.014832664,-6.001603148293458,0.0,2254.45,40000,1.0806245803833008,0.9443416487597014,0.0817369512497756,-4.873833675830564,0.0,1686.8
1,10.321705341339111,-5.7156604378628275,2.162315510388213,6.751344996423745,-13.289106764291256,2103.6,491.9126345195862,3620,960,0.0,1.2056763188950064,0.02,0.07698988914489746,1.7746508121490479,0.009697833,0.017104598,-5.973008877250395,0.0,2103.6,40000,6.296098709106445,0.15820733756420594,0.14178265671905796,-4.835136396302413,0.0,1691.2
2,10.160486221313477,-5.2875222914350335,2.279655332146527,9.719595239654977,-12.881409906667296,2027.75,427.8918525749234,3520,930,0.0,1.2188666246490185,0.02,0.08364534378051758,1.7897686958312988,0.009935078,0.017415438,-5.904460218668859,0.0,2027.75,40000,11.716691493988037,0.16784135597846583,0.15348399595961604,-4.36847504264119,0.0,1610.4
3,10.515580654144287,-4.900626587589078,2.4466219370331563,13.90749091613323,-10.392659073941822,1944.75,431.51701878373234,3270,970,0.0,1.1053659870879085,0.02,0.07800865173339844,1.763803243637085,0.009872803,0.020027056,-5.804076855560881,0.0,1944.75,40000,10.924130916595459,0.2620662479231001,0.24604296136583845,-4.493769711233384,0.0,1663.6
4,10.070645332336426,-4.615414808743907,2.3429442389369677,7.176285522871982,-10.240637415124306,1866.2,405.8307036191323,3050,750,0.0,1.1474112406966097,0.02,0.09076404571533203,1.8831779956817627,0.00815712,0.014860216,-5.685210650879184,0.0,1866.2,40000,11.403187036514282,0.3157245467599771,0.29831061290216526,-4.264025316970264,0.0,1589.6
5,10.225049257278442,-4.361139904034345,2.2831899865153407,6.407835839573514,-11.359843261227633,1805.7,359.739502974027,2940,530,0.0,1.0591583281354724,0.02,0.0751953125,1.7599458694458008,0.00811201,0.015744405,-5.5528035761947,0.0,1805.7,40000,10.619328737258911,0.3209781732520929,0.3003919168372932,-4.023205253257956,0.0,1484.4
6,10.159934759140015,-4.089669047011851,2.209424423924654,4.155734811774791,-9.462150865805953,1728.5,362.3613527957969,3170,820,0.0,1.075924053849964,0.02,0.0775153636932373,1.752302885055542,0.008109087,0.01556812,-5.4064901232764155,0.0,1728.5,40000,10.012121200561523,0.3195068942293438,0.29856238600492374,-3.640035216356895,0.0,1549.6
7,10.102508544921875,-2.532716662913827,13.209118757281331,164.6381866571808,-8.884501502970789,1684.3,336.5315884133316,3010,680,0.0,1.1902500705727386,0.02,0.08124804496765137,1.7551507949829102,0.008193594,0.016803905,-5.119112777240157,0.0,1684.3,40000,9.224286317825317,0.9764110539438986,0.8741916428713012,40.84194686839368,4.0,1329.2
8,9.962632894515991,-4.117515001310668,3.0187414249199573,13.376064022708148,-12.22676795495976,1689.85,341.9787676157688,3190,530,0.0,1.108046624340958,0.02,0.07605814933776855,1.7116806507110596,0.009919766,0.017683681,-5.018952999647208,0.0,1689.85,40000,9.361048936843872,1.047055138431709,0.4288770234760797,-3.262865855956096,0.0,1317.2
9,10.198194742202759,-3.7689970690873804,3.532023115069587,28.854751784585847,-10.691961223236508,1677.3,340.7986355606489,2760,800,0.0,1.1622903470002373,0.02,0.08024358749389648,1.7201156616210938,0.008102559,0.014706933,-4.893957406591225,0.0,1677.3,40000,10.490236759185791,0.5816743961898011,0.5137504461448743,-2.4769164117260094,0.0,1345.2
10,10.267087936401367,-2.6697711193220743,10.532883018887265,135.962851372707,-10.78227057207395,1655.2,318.3173887804435,2670,730,0.0,0.8346978048084618,0.02,0.07665038108825684,1.7279384136199951,0.008190172,0.025316488,-4.67153877786431,0.0,1655.2,40000,10.330594062805176,0.9664796437212829,0.8986895376601459,0.38506717039651106,0.0,1257.2
11,10.268355369567871,-3.3930313527168767,4.580778709602124,42.44064499452462,-10.26463539713219,1646.6,364.12283641650384,3030,170,0.0,1.1073566197507523,0.02,0.07615971565246582,1.7074456214904785,0.008116526,0.014890809,-4.543688035349566,0.0,1646.6,40000,10.39274287223816,0.8167149778038769,0.6799199786692719,-0.9085972967918042,0.0,1262.8
12,10.596819639205933,-3.1927331057055035,2.9324443040144215,12.313950698570977,-11.062235430053697,1649.3,289.3190453461368,2400,710,0.0,1.2433961732597105,0.02,0.0887298583984375,1.7035887241363525,0.009823652,0.016285405,-4.40859254238516,0.0,1649.3,40000,10.424827814102173,0.5777979406199146,0.5147719644273304,-1.1201386168867264,0.0,1090.0
13,10.506527423858643,-3.032422231174664,4.313686435816389,26.144438396677174,-11.824695753629962,1576.25,325.62775910539324,2370,540,0.0,1.1608776395325575,0.02,0.07669973373413086,1.8219316005706787,0.009982051,0.019855374,-4.270975511264111,0.0,1576.25,40000,9.660274267196655,0.6705022449974799,0.5721981874018423,-1.5332173637943476,0.0,1310.0
14,10.359476566314697,-2.8790732152633995,5.880741924885385,56.62660220376089,-10.627684218509513,1600.1,291.02575487403175,2480,370,0.0,1.166865367117103,0.02,0.076080322265625,1.7486145496368408,0.009791673,0.018242592,-4.13178528166404,0.0,1600.1,40000,9.02152156829834,0.783524033365051,0.6962236374258727,-3.3260595629593666,0.0,1355.2
15,10.404375314712524,-3.180547499582423,3.291374485212088,16.259801270092947,-12.126387776690244,1577.7,309.2987390856937,2680,740,0.0,1.2184035837701208,0.02,0.0775461196899414,1.8016817569732666,0.009927659,0.016653283,-4.036661503455879,0.0,1577.7,40000,9.12228512763977,0.6156853215528398,0.5326427788428046,-2.753599484710008,0.0,1219.6
16,10.359545230865479,-2.58971777672216,5.110635427046548,31.61660700596354,-12.089565468065969,1537.0,266.9925092582187,2190,400,0.0,0.9855952374233612,0.02,0.08150506019592285,1.79250168800354,0.008212104,0.019523956,-3.8919671307825077,0.0,1537.0,40000,8.379626750946045,0.7667804400167009,0.7103965784202446,-2.7258784591758634,0.0,1178.8
17,10.684549570083618,-2.844303424089154,4.381666349021389,26.960340327967277,-14.686084484046972,1531.95,290.46634486632007,2440,350,0.0,1.1688930787179326,0.02,0.07962226867675781,1.8135349750518799,0.009997834,0.017437045,-3.7872007601131723,0.0,1531.95,40000,8.888965845108032,0.7148793655161276,0.5764790342157373,-0.2883682055659554,0.0,1215.2
18,10.459616899490356,-1.658034638331273,8.089857074404195,61.67671393840595,-14.103241075348393,1549.8,306.4668987019642,2600,360,0.0,1.2158307078331265,0.02,0.08065652847290039,1.7931287288665771,0.009950652,0.017247956,-3.5742841479349825,0.0,1549.8,40000,9.351035118103027,0.8560951959823458,0.7662128220667593,-2.9516802564819438,0.0,1268.0
19,10.56392240524292,-2.5635431510594655,5.539184002874499,38.0560766776685,-13.13124739745978,1558.4,275.34058908922236,2490,480,0.0,1.164550941227966,0.02,0.08141827583312988,1.8100149631500244,0.009924399,0.017406931,-3.473210048247431,0.0,1558.4,40000,9.399829626083374,0.969697100270988,0.6834207634980046,0.4036250802294751,0.0,1195.2
20,10.575724363327026,-2.209172703872967,6.641199359495055,47.03982530763476,-12.48647175380069,1501.35,290.6263537602879,2400,480,0.0,1.1815795011708827,0.02,0.07584691047668457,1.7656543254852295,0.009961296,0.01793546,-3.3468063138099846,0.0,1501.35,40000,9.117358446121216,0.8372290972229389,0.722356687545663,-3.016195196953165,0.0,1198.4
21,10.473581790924072,-1.4912772197968212,9.442365938404732,92.70168398791435,-12.131005027665827,1501.95,305.6463601942611,2160,410,0.0,1.2114996200476358,0.02,0.08026456832885742,1.879748821258545,0.009797216,0.018956084,-3.1612534044086686,0.0,1501.95,40000,9.008464097976685,0.9045543163351918,0.8201798242600775,-1.1366748276029235,0.0,1219.2
22,10.358447313308716,-0.7308666805750625,8.689394673843127,51.851134334741396,-15.66471809159188,1450.6,335.93844674285197,2110,90,0.0,1.0369104268093154,0.02,0.07550621032714844,1.8079745769500732,0.008114453,0.016130237,-2.9182147320253082,0.0,1450.6,40000,9.335200786590576,0.8423632448080418,0.6661884412631179,-1.9385757444679406,0.0,1318.4
23,10.764728784561157,-2.6266029176260677,4.668252244104745,29.12472138586077,-13.821234720844116,1509.4,289.37629481351786,2740,540,0.0,1.0936053899902216,0.02,0.07695126533508301,1.7216713428497314,0.008202702,0.014787283,-2.8890535505853845,0.0,1509.4,40000,9.096487522125244,0.751218935889244,0.5431612946172708,-3.412414801568042,0.0,1388.4
24,10.46961259841919,-1.7164600842678703,7.955739951620751,57.336727628820455,-12.594990353080645,1515.3,294.8218275501324,2290,470,0.0,1.152717046506274,0.02,0.08443808555603027,1.8284659385681152,0.009919616,0.01836595,-2.7717942039536334,0.0,1515.3,40000,9.380777359008789,0.7556268633773889,0.6164282376439668,4.684429683138178,0.0,1289.2
25,10.807826042175293,0.01269518703809311,9.64737487026826,63.60209657161533,-14.547607058400347,1452.65,303.9629541572459,2160,290,0.0,1.2308904230382092,0.02,0.07660102844238281,1.7083842754364014,0.00981229,0.01678166,-2.4933452648544607,0.0,1452.65,40000,9.63565182685852,0.8446674721296733,0.6635272942523912,0.21996179463296714,0.0,1340.8
26,10.666962623596191,-0.5646130774241521,9.566639197219772,68.33851397811472,-14.80584436482438,1496.6,328.0082925780993,2470,0,0.0,1.1000722776307024,0.02,0.0779578685760498,1.7904834747314453,0.008119243,0.015132061,-2.30047204611143,0.0,1496.6,40000,9.176891326904297,0.7537917092891321,0.6574961392236306,-0.9883086347071882,0.0,1241.2
27,10.366551160812378,-1.9004938103950073,6.2952424959624995,32.72972730870793,-16.30248770072618,1483.55,303.7184510364822,2360,530,0.0,1.0689183632414911,0.02,0.07765889167785645,1.793443202972412,0.008141708,0.015369918,-2.260474222539788,0.0,1483.55,40000,8.783528804779053,0.713174799148267,0.5922179435383121,-1.7606850906132556,0.0,1234.4
28,10.66920518875122,0.37739691480810095,9.968152464185579,48.2392375071332,-13.87575497794589,1464.5,353.5346517669803,2420,30,0.0,1.1669436490885037,0.02,0.07880496978759766,1.763857126235962,0.009796271,0.017503835,-1.996687108804999,0.0,1464.5,40000,8.983463287353516,0.6860589082069558,0.4698230579873131,0.985007700884796,0.0,1292.8
29,10.767128705978394,-0.47759178225341176,8.182159162697491,49.18653134961646,-14.535062319808215,1489.95,306.19356214656113,2150,320,0.0,1.0798873605003925,0.02,0.07694363594055176,1.7868196964263916,0.00994868,0.01903353,-1.8447775761498404,0.0,1489.95,40000,9.258721828460693,0.7794472554818925,0.5460908648268783,2.5004458615805074,0.0,1224.0
30,10.36913251876831,-0.0885065435587542,12.631700278439661,131.39485619903434,-13.770439524523566,1491.45,343.6704780745649,2680,0,0.0,1.3512579042947803,0.02,0.07644844055175781,1.742656946182251,0.009902527,0.016009372,-1.6691504728907318,0.0,1491.45,40000,9.13888692855835,0.857145500820665,0.7200168133644863,4.745138619129049,0.0,1366.8
31,10.52927303314209,-1.830558988860028,5.249369605366391,22.660318554021863,-14.476157020448893,1516.35,298.6338518989433,2400,170,0.0,1.1278940144084602,0.02,0.07625341415405273,1.8007078170776367,0.009957611,0.0175851,-1.6852913244876615,0.0,1516.35,40000,9.132243633270264,0.9696280811994293,0.4857030170408979,4.355865749089018,0.0,1382.0
32,10.7970871925354,0.6004522431029019,19.65914811938478,256.44279537037323,-14.597984172730188,1493.0,292.7217108449594,2220,490,0.0,0.9701846335040073,0.02,0.08209705352783203,1.7604341506958008,0.009880676,0.04796967,-1.4567169677286051,0.0,1493.0,40000,8.972073793411255,0.8991981833257534,0.6698440512443635,6.036049792889121,0.0,1384.0
33,10.37059497833252,-0.07713406798665794,8.38984619259998,55.06398761490042,-14.496886963139405,1505.75,329.15260518488986,2380,70,0.0,0.9646084221774638,0.02,0.0760807991027832,1.7443041801452637,0.008102458,0.0160939,-1.3187586777544105,0.0,1505.75,40000,9.189536333084106,0.9569830162332778,0.6266659830806905,1.3290668967975505,0.0,1467.2
34,10.465754985809326,-0.9455173561603206,8.510924421441176,50.185563207457236,-18.422126566708684,1540.0,259.54960990145986,2070,780,0.0,0.9531799588087313,0.02,0.07675957679748535,1.6878714561462402,0.00812026,0.016792264,-1.2814345455950016,0.0,1540.0,40000,8.879730701446533,0.8141170063416349,0.6241381977986141,6.614267793153256,0.0,1367.2
35,10.666821002960205,-0.9174102396366243,7.2462829249030145,40.37340699210322,-16.081839763011654,1517.95,323.75962920043014,2460,180,0.0,1.141584114284106,0.02,0.07680916786193848,1.7717742919921875,0.0081634065,0.014427321,-1.2450321149991639,0.0,1517.95,40000,8.410906553268433,0.7388078340602523,0.5430994994515083,5.030901600888467,0.0,1293.2
36,10.803078651428223,-0.13609994646948143,7.53881877343957,40.63743073475386,-14.843941139934246,1503.3,322.25938310621774,2490,450,0.0,1.19968670214342,0.02,0.0802762508392334,1.7246334552764893,0.009657482,0.016548188,-1.1341388981461957,0.0,1503.3,40000,8.451075315475464,0.7395945551904811,0.5743735382355408,4.127667437538498,0.0,1294.8
37,10.666302680969238,-0.05984477495590653,11.312507695921047,78.25256495126375,-15.52541407425424,1516.75,292.6139735214298,2380,380,0.0,1.1497225381362575,0.02,0.07590293884277344,1.7665393352508545,0.009854059,0.017569289,-1.0267094858271668,0.0,1516.75,40000,8.907581567764282,0.7071522578352187,0.5032724186970569,4.974402805795534,0.0,1123.2
38,10.866401433944702,2.812281644667527,16.048612615320963,145.9477240749053,-14.030973655584486,1453.8,316.5131276898321,2260,150,0.0,1.052777057071635,0.02,0.07603859901428223,1.6969144344329834,0.008158118,0.016227681,-0.6428103727776975,0.0,1453.8,40000,9.21219778060913,0.6799088151818801,0.4880470230866062,5.307665124726368,0.0,1246.0
39,10.881177425384521,0.5242373019015918,10.071000591136057,39.94044272955026,-14.395311909674474,1497.55,289.81631682843533,2100,190,0.0,1.1531366274406982,0.02,0.08064723014831543,1.7446985244750977,0.009979537,0.017509947,-0.5261056053097686,0.0,1497.55,40000,9.06853461265564,0.7739525298943355,0.5116738824522046,2.251858620111355,0.0,1285.6
40,10.586552381515503,0.37885081799404025,11.65662882376831,66.19394790336702,-20.071643737077164,1543.55,271.9593673694657,2230,620,0.0,1.072448008798857,0.02,0.08461380004882812,1.7497351169586182,0.008162362,0.0155719165,-0.4356099629793877,0.0,1543.55,40000,8.964531660079956,0.6554050896906198,0.492438411568507,11.831101004196507,0.0,1122.8
41,10.174082279205322,0.2520130117582829,10.97144696172827,69.33941803073635,-14.993974680770517,1503.85,347.2170466725388,2230,70,0.0,1.1511436473695997,0.02,0.07498502731323242,1.7614972591400146,0.009977599,0.017525718,-0.36684766550562065,0.0,1503.85,40000,8.74675965309143,0.68066715422825,0.5106345233861787,2.841532311915302,0.0,1174.4
42,10.666752099990845,2.0647337136383856,11.811532850901365,75.42965409639433,-17.303417316546295,1474.65,307.6473264957783,2230,230,0.0,1.1433344015539348,0.02,0.0802621841430664,1.7621254920959473,0.008160319,0.014441133,-0.12368952759121998,0.0,1474.65,40000,8.723880052566528,0.6662583277497826,0.5495293531196523,9.737522704799698,0.0,1087.2
43,10.679162979125977,2.696111199506577,16.81369161988837,161.1354275685887,-16.615009714614168,1442.7,333.41222233145567,2110,100,0.0,0.9975573456644216,0.02,0.08017468452453613,1.765723705291748,0.008158075,0.019301495,0.15829054511855972,0.0,1442.7,40000,8.450793266296387,0.730763586314262,0.5287435902705686,17.716201976533256,0.0,1077.6
44,10.795210123062134,3.7188475446827836,12.546040736645693,78.7223167540973,-12.552840958656843,1435.9,349.70300256074444,2440,70,0.0,1.1119099052565697,0.02,0.0804903507232666,1.753528118133545,0.009990914,0.017676815,0.5143462450749822,0.0,1435.9,40000,8.071584701538086,0.7036009178047026,0.4692127116331127,17.02961513126944,0.0,1096.8
45,10.762271165847778,2.437896629452693,13.12652121414131,73.10801598594941,-16.807585537742277,1486.4,368.2716931831715,2370,0,0.0,1.154045581764087,0.02,0.07557415962219238,1.7749598026275635,0.009963779,0.01821025,0.7067012835127533,0.0,1486.4,40000,8.323906660079956,0.5718023278711738,0.46502751645604606,11.654591253798904,0.0,1194.4
46,10.711143016815186,2.179736962407771,12.890527170016282,69.5464018785638,-16.88213891783841,1498.2,326.0625093444507,2060,160,0.0,1.151358510581923,0.02,0.07845926284790039,1.7525227069854736,0.009878786,0.017485367,0.8540048514022551,0.0,1498.2,40000,8.612197399139404,0.582147698275559,0.4522410175688732,28.489617383951135,0.0,1015.6
47,10.563405752182007,2.4269908200859303,10.234189100179314,52.72087638295695,-14.320876590697905,1499.1,320.2236562154645,2140,0,0.0,1.1636216897967262,0.02,0.07796931266784668,1.7252984046936035,0.009700453,0.016681878,1.0113034482706227,0.0,1499.1,40000,8.643234491348267,0.7098973068588381,0.5114331534859713,18.81169611592223,0.0,1112.4
48,10.563722372055054,2.855133907996389,13.065701498154823,77.81122386809868,-16.95975953266945,1457.65,323.5814851007393,2160,230,0.0,1.2063911543942363,0.02,0.07999444007873535,1.8320536613464355,0.00994173,0.016847342,1.1956864942431993,0.0,1457.65,40000,8.74272632598877,0.6223410623233139,0.488289403476697,36.59001456178639,0.0,966.4
49,10.970044612884521,3.6978990861326086,14.159241709905132,74.2354426149823,-17.300016229443383,1440.75,351.98286535000534,2140,260,0.0,1.1694760131156503,0.02,0.08013916015625,1.6819322109222412,0.009882015,0.017502647,1.4459077534321403,0.0,1440.75,40000,8.548192262649536,0.6380523506595082,0.4650857291431526,23.314163380923997,0.0,930.4
50,10.61845088005066,4.684104306101484,22.518954329612004,226.19968226513686,-17.901506190606206,1452.75,346.76640191921706,2170,320,0.0,1.0455341771348043,0.02,0.07952618598937988,1.783634901046753,0.008189795,0.018089583,1.7697274086990746,0.0,1452.75,40000,8.5837082862854,0.7153419569098814,0.5429332397834483,49.95662986071431,4.0,1054.4
51,10.366340160369873,6.5699915030200815,25.609653268472332,302.67341479079954,-16.884092954926942,1456.1,356.53020909875227,2080,150,0.0,1.0995276143299093,0.02,0.07563161849975586,1.744170904159546,0.008110137,0.015814148,2.2497538181311754,0.0,1456.1,40000,8.714053630828857,0.7213376422264356,0.5942834078678758,52.39320708573922,4.0,917.2
52,10.670412302017212,7.610116603901734,24.97459177350138,182.75898694596296,-20.381608368007548,1441.65,368.67977636425894,2150,130,0.0,1.1297932779576465,0.02,0.08938050270080566,1.7952420711517334,0.009959056,0.01833547,2.7857900967082316,0.0,1441.65,40000,8.54415512084961,0.7880536291980185,0.5606852543722847,42.451279838078314,0.0,906.8
53,10.67995309829712,6.3665227211148805,28.92073980105547,343.3332377989425,-14.901446960151981,1423.25,367.5662355276937,2540,180,0.0,1.3210948706737329,0.02,0.0865471363067627,1.836808681488037,0.009949463,0.016409071,3.143863359148897,0.0,1423.25,40000,8.095138311386108,0.8964992697275184,0.6934022236150365,59.484504296457246,0.0,944.0
54,10.492576122283936,3.3124238115374296,11.78302794910922,54.29483654599348,-15.583726889696868,1475.8,350.80245153077254,2140,70,0.0,1.074731864818415,0.02,0.07767963409423828,1.726651906967163,0.009919113,0.018189602,3.1607194043877502,0.0,1475.8,40000,7.879997253417969,0.9523207469616483,0.5194128852142474,65.67323166830346,0.0,803.2
55,10.616291761398315,3.585788996289689,12.773471689273217,66.70505820072196,-14.203698020248378,1457.75,348.6896005045175,2340,280,0.0,1.149842512082989,0.02,0.07731461524963379,1.729351282119751,0.009696855,0.017094309,3.2032263635779445,0.0,1457.75,40000,8.229556560516357,0.6160893656130337,0.4921230642826358,72.26502317697826,4.0,896.8
56,10.568114757537842,8.77569914787285,23.95023170429632,181.73231620552232,-12.765466263361215,1416.3,360.55001040077644,2150,280,0.0,1.1999112510797834,0.02,0.07525515556335449,1.7160799503326416,0.009799364,0.017050203,3.760473642007435,0.0,1416.3,40000,8.238173961639404,0.6788806428237433,0.4811564700094617,56.87724882340681,0.0,792.8
57,10.860953569412231,6.4721596159021555,22.83348513050648,241.6933576142282,-14.762762426888177,1423.8,346.36189166823766,2020,200,0.0,1.1660735561213817,0.02,0.07700395584106445,1.7655627727508545,0.009756466,0.017268173,4.031642239396907,0.0,1423.8,40000,8.257954120635986,0.7020857707074923,0.553280941587277,67.5530160484546,4.0,911.2
58,10.580268144607544,5.282983194345957,16.51027668123949,99.64746953542164,-14.756485023462902,1428.85,323.70538688752157,1980,130,0.0,1.1974645552515724,0.02,0.07793140411376953,1.795759916305542,0.009812621,0.016814087,4.156776334891813,0.0,1428.85,40000,8.87033486366272,0.5873985018632316,0.47878742665913254,80.39786323005588,4.0,739.2
59,10.679964303970337,6.2380989779946905,21.356561499838516,235.4426156417492,-17.3096234808471,1463.85,338.44006485639375,2090,210,0.0,1.3398531096436024,0.02,0.08235383033752441,1.7226622104644775,0.009923881,0.015774969,4.364908599202101,0.0,1463.85,40000,8.886231184005737,0.806765548150876,0.6369414927819614,70.57696942928689,0.0,740.0
60,10.793862342834473,7.532936713369628,22.219150278896198,168.21511856876168,-14.372810348561364,1424.4,360.7736686622237,1950,250,0.0,1.235424258186715,0.02,0.07664299011230469,1.697159767150879,0.009898112,0.017909387,4.6817114106188535,0.0,1424.4,40000,8.81252932548523,0.727881634492494,0.4816580389226538,69.04966249282934,4.0,834.0
61,10.692919254302979,8.943881468514846,26.287786728135533,214.98345007810605,-15.51200889260596,1432.7,369.0172218203373,2240,160,0.0,1.158815953608868,0.02,0.08037400245666504,1.7623860836029053,0.009869282,0.017876904,5.107928416408453,0.0,1432.7,40000,8.767472267150879,0.6610821290646737,0.5230198912922921,65.6386915531267,0.0,807.6
62,10.418583393096924,11.273710131026942,40.78775169761335,365.1010696224733,-15.314418881307034,1416.45,366.41219616710356,2190,320,0.0,1.2901944340855118,0.02,0.08044815063476562,1.7564423084259033,0.009861046,0.016235035,5.724506587870302,0.0,1416.45,40000,8.711493253707886,0.7851303471266203,0.6546709478013506,43.55541825990561,0.0,740.4
63,10.518045663833618,9.197322405286364,22.050830208429566,188.9573616699894,-16.0835437767803,1386.6,378.3245167842021,2060,200,0.0,1.05493689283937,0.02,0.08167171478271484,1.707019567489624,0.008109809,0.0150526585,6.071788169611908,0.0,1386.6,40000,8.905210971832275,0.8861555588307337,0.4920120134873173,38.93728678166664,0.0,720.8
64,10.567736148834229,7.808555863931267,26.89701602664648,304.77307569943537,-19.513277637910036,1429.2,345.7128288044862,2050,230,0.0,0.961988276629348,0.02,0.07623863220214844,1.7810499668121338,0.008118349,0.020510882,6.245464939043845,0.0,1429.2,40000,8.57205319404602,0.6571066136649687,0.5510587806262861,53.354547691537725,0.0,688.8
65,10.48776388168335,9.675733719219188,28.6426019729044,295.28416521989175,-14.479291776650403,1403.8,360.9093514997914,2320,100,0.0,1.1682448565481987,0.02,0.0762939453125,1.757094383239746,0.00999884,0.019446386,6.588491817061379,0.0,1403.8,40000,8.255491018295288,0.6594135649292447,0.49692420719314845,33.26498519329442,0.0,765.2
66,10.878882884979248,9.315384162613993,27.31419920131877,178.3943457996496,-17.152571189349423,1391.25,355.5431584210277,1940,140,0.0,1.1778778217041954,0.02,0.07558727264404297,1.6976590156555176,0.009915696,0.01717828,6.86118105161664,0.0,1391.25,40000,8.224233388900757,0.6244114625818517,0.47144831718582636,26.0823470367916,0.0,740.8
